Title	Author	List Price	Amazon Price	Hard/ Paper	NumPages	Publisher	Pub year	ISBN-10	Height	Width	Thick	Weight (oz)
The Cloister Walk	Kathleen Norris	15	10.09	P	416	Riverhead Trade	1997	1573225843	8.2	5.4	1	13.6
The Conquest of New Spain (Penguin Classics)	Bernal Diaz	17	11.44	P	412	Penguin Books	1963	140441239	7.1	4.3	0.7	3.2
The Crucible	Miller	13	9.28	P	152	Penguin (Non-Classics)	1976	0140481389	7.7	5	0.4	4
The Crying of Lot 49	Thomas Pynchon	12.99	9.66	P	192	Harper Perennial	2006	006091307X	7.5	5.7	0.4	4.8
The Curious Reader: Exploring Personal and Academic Inquiry (2nd Edition)	Bruce Ballenger	70.8	55.75	P	560	Longman	2005	321365224	8.9	5.8	0.9	19.2
"The Curious Researcher, MLA Update Edition (6th Edition)"	Bruce Ballenger	48.2	39.72	P	400	Longman	2009	205745261	8.9	5.9	0.6	16
The Da Vinci Code	Brown	9.99	9.99	H	597	Anchor	2009	307474275	7.5	4.3	1.3	12.8
The Detox Miracle Sourcebook: Raw Foods and Herbs for Complete Cellular Regeneration	Morse	30	20	P	384	Kalindi Pres	2011	1935826190	11	9	1	32
The Distant Hours	Morton	15	8.6	P	576	Washington Square Press	2011	1439152799	8.3	5.2	1.6	19.2
The Diving Bell and the Butterfly	Jean-Dominique Bauby	14	8.04	P	131	Vintage	1998	0375701214	7.8	5.1	0.5	4.8
The Effective Executive: The Definitive Guide to Getting the Right Things Done	Drucker	16.99	10.68	P	208	Harper Paperbacks	2006	60833459	7.8	5.3	0.6	5.6
The Emporer's Handbook: A New Translation of the Meditations	Marcus Aurelius	22	14.96	H	160	Scribner	2002	0743233832	8.7	5.9	0.6	3.2
The Field Guide to John Deere Tractors	Don Macmillan	8.42	8.42	H	160	Voyageur Press	2003	089658514X	9.1	6	0.7	16
The Forest of Hands and Teeth	"Ryan, Carrie"	9.99	9.99	P	336	Delacorte Books for Young Readers	2010	385736827	7.9	5.5	0.7	8.5
The Forgotten Garden	Kate Morton	15	8.52	P	560	Washington Square Press	2010	1416550550	8.5	5	1.5	16
The Girl With the Dragon Tatoo	Stieg Larsson	14.95	8.26	P	600	Vintage Crime / Black Lizard	2009	307454541	8.1	5.2	1.1	16
The Giving Tree	Shel Silverstein	18.99	11.16	H	64	HarperCollins	2004	60586753	10.3	7.9	0.5	16
The Glass Menagerie	Tennessee Williams	10.95	7.82	P	104	New Directions	1999	811214044	7.7	5.2	0.4	4.8
The God Delusion	Richard Dawkins	16.95	9.16	P	464	Mariner Books	2008	618918248	8.1	5.6	1.4	16
The Grand Design	Stephen Hawking	28	16.09	H	208	Bantam	2010	553805371	9.2	6.3	0.8	19.2
The Great Gatsby	F. Scott Fitzgerald	25	15.62	H	176	Scribner	1996	0684830426	9.6	6.3	0.7	13.6
The Great Gatsby	Fitzgerald	15	8.84	P	180	Scribner	1999	0743273567	7.9	5.2	0.5	4
The Great Gatsby	F. Scott Fitzgerald	15	8.92	P	180	Scribner; Reissue edition	1999	743273567	7.9	5.2	0.5	4
The Guernsey Literary and Potato Peel Pie Society	Shaffer	15	8.05	H	290	Dial Press	2009	385341008	7.8	5.4	0.7	8
The Guns of August	Barbara W. Tuchman	17	11.56	P	544	Ballantine Books	1994	034538623X	8.1	5.5	1.1	16
The Heart is a Lonely Hunter	Carson McCullers	13.95	7.7	P	368	Mariner	2004	618526412	8.3	5	0.9	14.4
The Help	Stockett	16	8.8	P	544	Berkley Trade	2011	425245136	8.3	5	0.8	9.6
The House on Mango Street	Cisneros	11	6.4	P	110	Vintage	1991	679734775	7.9	5.1	0.5	5.6
The Hunger Games	Suzanne Collins	8.99	4.94	P	384	Scholastic Press	2010	439023521	8	5.2	0.8	11.2
The Hunger Games	Suzanne Collins	17.99	10.21	H	384	Scholastic Press; 1st Edition	2008	0439023483	8.7	5.5	1.2	16
The Immortal Life of Henrietta Lacks	Rebecca Skloot	16	8	P	400	Broadway	2011	1400052181	8	5.2	1.2	16
The Imperfectionists: A Novel (Random House Reader's Circle)	Rachman	15	8.36	P	304	Dial Press Trade Paperback	2011	385343671	7.9	5.1	0.8	8.8
The Inferno of Dante: Bilingual Edition	Dante	12	9.22	P	384	"Farrar, Straus, and Giroux"	1996	374524521	7.9	5.6	1	15.2
The Innovator's Dilemma: The Revolutionary Book That Will Change the Way You Do Business	Christensen	17.99	9.99	P	320	Harper Paperbacks	2003	60521996	7.9	5.3	0.8	8.8
The Intelligent Investor: (Revised Edition)	Benjamin Graham	21.99	12.5	P	640	Collins Business	2003	60555661	7.9	5.4	1.6	19.2
The Invisible Bridge (Vintage Contemporaries)	Orringer	15.95	8.95	P	784	Vintage	2011	140003437	7.8	5.2	1.4	20.8
The Inward Morning: A Philosophical Exploration in Journal Form	Henry Bugbee	24.95	22.51	P	248	University of Georgia Press	1999	820320714	8.5	5.5	0.5	9.9
The John Deere Two-Cylinder Tractor Encyclopedia: The Complete Model-by-Model History	Don Macmillan	39.95	23.79	H	256	Voyageur Press	2007	140003437X			1	
The Kitchen House	Grissom	16	9.52	P	384	Touchstone	2010	1439153663	8.1	5.3	0.8	12.6
The Last Summer Of The Death Warriors	Francisco Stork	10.65	13.13	H	352	Arthur A. Levine Books; 1 edition	2010	0545151333	8.3	6.4	1.2	15.2
The Lincoln Lawyer	Michael Connelly	13.99	7.79	P	432	Grand Central Publishing	2011	1455500246	8.2	5.4	1.2	11.4
The Little Book That Still Beats the Market: 1st edition	Joel Greenblatt	19.95	10.86	H	183	Wiley	2010	470624159	7.1	5.3	0.8	9.1
The Loser: A Novel	Thomas Bernhard	14	11.2	P	208	Vintage	1996	1400077540	7.9	5.2	0.6	5.6
The Luzhin Defense	Vladimir Nabokov	15	10.2	P	272	Vintage	1990	0679727221	8.1	5.4	0.6	7
The March of Folly: From Troy to Vietnam	Barbara W. Tuchman	16.95	11.53	P	447	Ballantine Books	1985	0345308239	8.2	5.3	1.3	17.6
The Maze Runner	Dashner	9.99	9.99	P	400	Delacorte Press	2010	385737955	8.2	5.5	0.7	13.4
The Moviegoer	Walker Percy	14.95	10.17	P	241	1st International ed edition	1998	375701966	8	5.2	0.5	5.6
The Night Thoreau Spent in Jail: A Play	Lawrence	11	8.8	P	128	Hill and Wang	2001	0809012237	8.1	5.4	0.4	5.6
The Odyssey	Robert Fagles	17	10.47	P	560	Penguin Classics	1999	140268863	8.4	5.8	1.5	1.3
The Official Dictionary of Sarcasm: A Lexicon for Those of Us Who Are Better and Smarter Than the Rest of You	James Napoli	14.95	7.9	P	368	Sterling Innovation	2010	1402769520	6.9	6.1	1.2	26.4
The Old Man and The Sea	Earnest Hemingway	12	9.09	P	128	Scribner	1995	684801221	5.2		0.8	4
The Outsiders	S.E. Hinton	9.99	9.99	P	192	Speak	1997	014038572X	7.5	4.3	0.5	5.6
The Paris Wife	Paula McLain	25	14.46	H	336	Ballantine Books	2011	0345521307	9.3	6.4	1.1	22.4
The perks of Being a Wallflower	Stephen Chbosky	14	8.22	P	213	MTV Books; origional edition	1999	0671027344	7.1	5.1	0.5	7.2
The Power of Six	"Lore, Pittacus"	17.99	8.98	H	416	HarperCollins	2011	61974552	8.3	5.7	1.5	17.6
The Practice of Concern	John Traphagan	30	23.94	P	248	Carolina Academic Press	2004	89089406X	8.5	5.5	0.6	12
The Practice of Management	Drucker	16.99	11.28	P	416	Harper Paperbacks	2006	60878975	7.9	5.2	1	12
The Pursuit of History	John Tosh	34.8	24.9	P	368	Longman	2010	582894123	9.4	6.7	0.9	19.2
The River Between	Ngugi Wa Thiong'o	15.95	9.92	P	152	Longman	2008	435905481	7.7	5.1	0.5	4.8
The Scarlet Letter	Hawthorne	7.77	7.77	P	140	Tribeca Books	2011	1612930026	7.8	5.1	1	16
The Secret Garden	Frances Hodgson Burnett	3.95	3.95	P	288	Signet Classics	2003	451528832	6.7	4.1	1	5.6
The Secret Sharer and Other Stories	Joseph Conrad	2	0.77	P	128	Dover	1993	486275469	8.2	5.2	0.3	4.2
The Shape of Me and Other Stuff: Dr. Seuss's Surprising Word Book	Seuss	8.99	8.99	H	24	Random House Books	1997	679886311	5.8	4.4	0.6	1.6
The Sheik	E.M. Hull	18.95	15.15	P	304	Pine Street Books	2001	812217632	7.3	5	0.8	12
The Snowball: Warren Buffett and the Business of Life: Updated editionÊ	Alice Schroeder	20	13.6	P	832	Bantam	2009	553384619	9.2	5.9	1.5	32
The Sonnets and A Lovers Complaint	William Shakespeare	20	13.6	H	272	Penguin Classics	2010	141192577	8	5.7	1	13.6
The Sound and the Fury	William Faulkner	15.44	8.45	P	464	W.W. Norton	1993	393964817	8.5	5.1	0.8	15.2
The Sound and the Fury: The Corrected Text with Faulkner's Appendix	William Faulker	22	14.96	H	368	Modern Library	1992	67600175	7.9	5	1	11.2
The Sound of the Mountain	Kawabata	14.95	10.17	P	288	Vintage	1996	679762647	8.1	5.3	0.6	9.1
The Story of Ferdinand	Munro Leaf	17.99	10.88	H	72	Viking Juvenile	1936	670674249	9.4	7.4	0.5	14.4
The Tenth Circle	Jodi Picoult	16	10.11	P	416	Washington Square Press	2006	074349671X	8.2	5.2	1.2	13.6
The things they carried	Tim O'brian	14.95	8.28	P	256	Mariner books	2009	618706410	8	5.2	0.7	8.8
The Tiger's Wife: A Novel	Obreht	25	14.7	H	352	Random House	2011	385343833	8.3	5.7	1.1	17.6
The Time Keeper	Cropp	14	14	P	248	Copper Press	2005	976050617	8.4	5.4	0.7	10.4
The Time Traveller's Wife	Niffenegger	14.95	5.98	P	546	Harcourt	2004	015602943X	7.9	5.3	1.2	13.6
The Tragedy of Arthur: A Novel	Phillips	26	13.7	H	384	Random House	2011	1400066476	9.1	6.1	1.3	22.4
The Ultimate Guide to Tractors	Jim Glastonbury	24.99	17.99	H	448	Chartwell Books	2011	785828400	11.5	6	1.5	
The Woman in White	Wilkie Collins	20	12.17	H	720	Penguin Classics	2010	141192449	7.9	5.3	1.7	28.8
The World's Last Night: And Other Essays	Lewis	13	10.29	P	132	Mariner Books	2002	156027712	7.8	5.3	0.5	3.2
The Yacoubian Building	Alaa Aswany	13.99	11.19	P	255	Harper Perennial	2006	60878134	8	5.4	0.7	8
Their Eyes Were Watching God	Hurston	15.99	8.5	P	256	Harper Perennial Modern Classics	2006	0061120065	8.4	5.5	0.7	8.8
"They Say, I Say: The Moves That Matter in Academic Writing"	Gerald Graff	12.6	12.6	P	245	W. W. Norton & Company	2009	039393361X	7.3	5.3	0.4	6.4
Thirteen Reasons Why	Jay Asher	10.99	6.9	P	336	Razorbill	2011	159514188X	8.1	5.4	1	12
This is a Book	Demitri Martin	24.99	14.69	H	288	Grand Central Publishing	2011	892967412	5.1	8.5	1	15.2
"To End All Wars: A Story of Loyalty and Rebellion, 1914-1918"	Adam Hochschild	28	16.08	H	480	Houghton Mifflin Harcourt	2011	0618758283	9.1	6.2	1.7	25.6
To Kill a Mockingbird	Harper Lee	35	23.1	H	336	HarperCollins	2006	61205699	8.9	6.1	1.3	17.6
To the End of the Land (Vintage International)	Grossman	15.95	10.68	P	672	Vintage	2011	307476405	7.9	5.2	1.4	19.2
Toliver's Secret	Esther Wood Brady	6.99	6.99	P	176	Yearling	1993	0679848045	7.6	5.2	0.4	3.2
Too Close to Call: The 36-Day Battle to Decide the 2000 Election	Jeffrey Toobin	14.95	10.75	P	320	Random House Trade Paperbacks	2002	375761071	7.9	5.2	0.8	8.8
Train to Pakistan	Khushwant Singh	14.95	10.17	P	181	Grove Press	1994	802132219	8.2	5.3	0.5	7.2
Trainspotting	Welsh	14.95	10.17	P	368	W.W. Norton	1996	393314804	8.3	5.5	0.8	13.6
Unaccustomed Earth	Lahiri	25	10	H	352	Knopf	2008	307265730	8.5	5.9	1.4	20.8
Unbroken	Laura Hillenbrand	27	13.49	H	496	Random House	2010	1400064163	9.4	6.3	1.7	28
Underground: The Tokyo Gas Attack and the Japanese Psyche	Murakami	15	10.2	P	384	Vintage	2001	375725806	8	5.2	0.9	10.6
Waiting	Ha Jin	15	10.2	P	308	Vintage	2000	375706410	8	5.2	0.7	10.4
War Trash	Ha Jin	15.95	10.85	P	368	Vintage	2005	1400075793	7.9	5.2	0.9	10.4
Water for Elephants: A Novel	Gruen	14.95	8.14	P	350	Algonquin Books	2007	1565125606	8.2	5.4	1	12.8
We have never been modern	Bruno Latour	26	19.01	P	168	Harvard University Press	1993	674948394	8.9	6	0.5	7
Where the Sidewalk Ends	Shel Silverstein	18.99	12.24	H	192	HarperCollins	2004	60572345	9.3	6.6	1.1	24
White Privilege	Paula S. Rothenberg	27.55	27.55	P	160	Worth Publishers	2011	1429233443	9.1	6.1	0.7	8
Why I wore lipstick	Geralyn Lucas	12.95	5.18	P	224	St Martin's Griffin	2005	031233446X	8	5.4	0.7	6.4
"Worlds Together, Worlds Apart: A History of the World: From 1000 CE to the Present"	Robert Tignor	97.5	97.5	P	480	W. W. Norton & Company	2010	393934942	10.7	8.9	0.9	14.4
Wuthering Heights	Emily Bronte	16.99	4.95	P	344	CreatSpace	2011	1463533411	7.8	5.1	1	16
