"age","income","meanhourswatched","Film1","Film2","Film3","Film4","Film5","Film6","Film7","Film8","Film9","Film10"
46,75.92,74.68,"Diary of a Bad Lad","Preservation","Ribelli per caso","Cog","Herrenpartie","Out of Our Dens: The Richard and the Young Lions Story","Adamah","Happy Ending","Foet","Stagestruck: Gay Theatre in the 20th Century"
52,68.77,21.32,"Shinobugawa","Nicole's Revenge","Rokoko","Theory of Revenge","Chases of Pimple Street, The","Plight of Clownana, The","Etat","More Than Famous","Ren Sheng","Out of Our Dens: The Richard and the Young Lions Story"
70,79.25,128.87,"Dirty Diamonds","Maso et Miso vont en bateau","Film Geek","Focus","Bench, The","Dance of the Weed","Jojo in the Stars","Whistlin' Dixie","Yvonne Netter, avocate","Right Here, Right Now"
49,78.99,22.47,"Soy Cuba, O Mamute Siberiano","Dozen Kliks, A","Mutual Admiration Society","Wild Girls Gone","90","Itim","We Are the Champions","Focus","If","Ister, The"
55,93.37,6.14,"Complex Sessions, The","Soliloquy","Story","Herkus mantas","Khamoshi","Remembering November","Pictures at an Exhibition","Doing Time, Doing Vipassana","Luba","Pachanga, La"
43,72.09,40.13,"Backjumping","Blood of the Beast","Jantjes, De","Epilog","Thanks for Nothing","Ballad of Courtney & James, The","Most Boring Woman in the World, The","America the Beautiful","Khaneh siah ast","MGM Sarajevo: Covjek, Bog, Monstrum"
61,78.14,15.83,"Menq enq, mer sarere","Ovo malo duse","Mboutoukou","Yosemite: The Fate of Heaven","Great Gabble, The","Theory of Revenge","Sveto mesto","Perils in Nude Modeling","Nicole's Revenge","One Weekend a Month"
65,107.18,1.95,"Bench, The","Hausu","North of Providence","Brothers... On Holy Ground","Private Road","Safar barlek","Tosca","Starting Up","How to Be a Model (A 12 Step Plan)","Frodo Is Great... Who Is That?!!"
28,72.95,300,"Blood of the Beast","TankUp.US","Nackte Mann auf dem Sportplatz, Der","100 Years at the Movies","Joyce Story, A","Rent's Due","Dance of the Weed","Art Pepper: Notes from a Jazz Survivor","Sylvia, rimembri ancora?","Dosti"
62,79.97,2.83,"Maso et Miso vont en bateau","Vestido, O","Two Days with Juliet","Kaidan Oiwa no borei","Quincy's Quest","Penis Envy","Skazki... skazki... skazki starogo Arbata","Ballad of Courtney & James, The","Hummingbird","Amor"
53,79.52,9.54,"Dark Agent and the Passing of the Torch Chapter 7, The","Ride","Dieses Jahr in Czernowitz","Oscura noche","Last Just Man, The","Namukku Parkkan Munthiri Thoppukal","Shyamchi Aai","Learning to Swim","Handvoll Helden, Eine","Sister Helen"
40,92.69,17.05,"Baxter, The","San ge heshang","Titanic vals","Bint El-Harass","Click Three Times","Film Geek","Stay Clean","Inseguito","Sagara Sangamam","Phantom Submarine, The"
65,70.19,15.68,"Radevou ston aera","Ponchada","Ingmar Bergmanin maailma","Gotejar da Luz, O","Missed Call","America 101","Good Fight, The","Travail","Jagadeka Veeruni Katha","Threshold: The Blue Angels Experience"
67,74.42,12.96,"Precious Images","Looking Out","Most Boring Woman in the World, The","Moonlight in Vermont","Visit from the Incubus, A","Memories of War","Deathdealer: A Documentary","Hardwood Process","Hammer and Cycle","Da no tien gu"
43,56.2,25.7,"Joyce Story, A","Amor","Normal Love","Backjumping","Consent","Tenamonya yurei dochu","Gotejar da Luz, O","Raggedy Ann and Raggedy Andy","Chernov/Chernov","Taffy Was Born"
36,70.68,20.74,"Pony","Parking","Deedar","Dozen Kliks, A","Pillowfight","Wow and Flutter","Menq enq, mer sarere","Examen","Escuela de vagabundos","San ge heshang"
67,49.11,8.6,"Verdugo, El","Stalked","Iparhi kai filotimo","Camp Pacific","Thisavros tou makariti, O","Little Failures","Hardwood Process","Jojo in the Stars","Tabiate bijan","+1 -1"
34,76.12,45.05,"Unbekannte Deserteur, Der","Herkus mantas","Wilna Zona","Codename: Simon","Trollywood","That Lady From Peking","Piggy Bank","Uramisten","Harry Chapin: The Final Concert","Khamoshi"
63,79.51,43.47,"Edward Said: The Last Interview","Nadare","Ride, The","Trial of Jack, The","Sunrise Over Tiananmen Square","Udzinarta mze","Mond im Skorpion","Up Uranus!","Day Out, A","Oscura noche"
53,72.66,68.78,"Causality","Ladendiebstahl","Curtis","Thanatos","Mystic Motel, The","Earl's Your Uncle","Devchata","Among Thieves","Happy Ending","Karl May"
60,53.47,2.2,"Clase z tropical","Palacio presidencial!","Free Frenchman, The","Kakabakaba ka ba?","Marienthal: State of Emergency","Wilna Zona","Nadodikkattu","Tea with Tiffany","Simpsons: Family Portrait, The","Film Geek"
18,93.35,89.56,"Hotel Torgo","Fim de Festa","Konyok-gorbunok","Ivan Groznyy III","D-Day Remembered","Few Moments with Eddie Cantor, A","Pachanga, La","Mystic Motel, The","Night of the Dog","Oil Factor: Behind the War on Terror, The"
19,69.03,6,"Rideaux blancs, Les","Yvonne Netter, avocate","Maskerade","Milton Is a Shitbag","Mirt Sost Shi Amit","Ando volando bajo","Des Hoyaa Pardes","Pictures from a Revolution","Avantazh","Snell Show, The"
52,63.46,31.64,"Garriage: A Documentary in 4 Chapters and an Epilogue","Oru Vadakkan Veeragatha","Army of One","Evolver: Making of Youthanasia","Young Gentlemen","Rokoko","Diary of a Bad Lad","Opasen char","Throwing Down","Focus Group"
45,87.7,174.91,"Cabina, La","Mystic Motel, The","Silencio","Velichieto na hana","Macabre Pair of Shorts","Reshimat Ahava","Ninjo kami fusen","Class of 83","Wow and Flutter","Yurusarezaru mono"
33,106.03,20.58,"Tailspin Tommy in The Great Air Mystery","Oscura noche","J-K Conspiracy, The","Ketchup and Mustard Man, The","You Are Not I","+1 -1","Pleasure Pill","Nemuri Kyoshiro 3: Engetsugiri","Sofi","Cookery for Men"
40,88.49,8.64,"Boys of Venice, The","Out of the Rain","Young Gentlemen","Croaziera","Incredible Manitoba Animation","Latitude Zero","Umi to dokuyaku","Shoe Store, The","D.I.Y. or Die: How to Survive as an Independent Artist","Hippie Highway"
58,57.97,10.09,"Michel J","Wilna Zona","Atrapados","Overtime","En la palma de tu mano","Noam Chomsky: Personal Influences","Atrapados","Ai to nikushimi no kanata e","Perils in Nude Modeling","Start of Something, The"
37,77.62,28.72,"Zenith","Chasing Daylight","Byalata staya","In girum imus nocte et consumimur igni","Tsisperi mtebi anu arachveulebrivi ambavi","Coffee & Donuts","Codename: Simon","From Sam","Under-Pup, The","Miracle des loups, Le"
35,48.86,76.48,"Escuela de vagabundos","Snell Show, The","Mimmo & Paulie","Okkadu","Palacio presidencial!","Anyone","Lipservice","Peefeeyatko","Breakup Film, The","Opasen char"
36,71.62,109.63,"Body Language","Judy's Time","Nahapet","Handvoll Helden, Eine","Art Pepper: Notes from a Jazz Survivor","Sardar","Obedience","Viaje sin destino","Dieses Jahr in Czernowitz","Ina, kapatid, anak"
58,87.34,7.7,"Staromodnaya komediya","Handvoll Helden, Eine","Driving Fish","Sagara Sangamam","Juggler of Our Lady, The","Enter Achilles","Hand of Fate","Thunder in Guyana","Lachenite obuvki na neznayniya voin","Ningen no joken III"
42,76.1,12.03,"Soy Cuba, O Mamute Siberiano","Ovo malo duse","Drugiyat nash vazmozhen zhivot","Mauvaise conduite","Shiriusu no densetsu","Viaje sin destino","Ovo malo duse","Udzinarta mze","Legend of the Boy and the Eagle, The","Shawshank Redemption, The"
40,51.05,17.88,"Bench, The","San ge heshang","Morometii","Pachanga, La","Ai-Fak","Moondram Pirai","Rain, Drizzle, and Fog","Silver Bells","Summer Sonata, A","Sandcastles"
24,65.89,11.62,"Strange Aeons","New World, The","Western","Mona Lisa Descending a Staircase","Deathdealer: A Documentary","Titanic vals","V chetverg i bolshe nikogda","Ando volando bajo","Pranzo onirico, Il","Tabiate bijan"
58,50.32,102.95,"Missed Call","Blue Bird, The","Optimisticheskaya tragediya","Pictures at an Exhibition","Chibideka monogatari","Myster General, The","C'est le vent","Gardiens de phare","Bear Country","Shans"
22,88.08,26.39,"Sanada Yukimura no bouryaku","Crude","Precious Images","Hombre de la esquina rosada, El","D.I.Y. or Die: How to Survive as an Independent Artist","Libby, Montana","Sembilu II","American Yearbook","Crude","Familia de tantas, Una"
18,109.48,34.44,"Rani radovi","Clase z tropical","Masochist","V ogne broda net","Fado majeur et mineur","Thanatopsis","Grass Arena, The","Rideaux blancs, Les","Offering, The","Ren Sheng"
64,74.72,16.21,"Devadasu","Era outra vez","Des Hoyaa Pardes","Breathing Lessons: The Life and Work of Mark O'Brien","Young Americans","Sembilu II","Thanatopsis","Kyriakatiko xypnima","Shans","Kom tillbaka"
23,83.25,8.36,"Mord und Totschlag","Last Man Running","Veronika's Birthday","Ai to nikushimi no kanata e","Brooms","Legend of the Boy and the Eagle, The","Hand of Fate","Velichieto na hana","Mr Firecul","Timekeeper, The"
50,40.89,4.35,"Night of the Dog","Champions of the World","Silent Call, The","To Render a Life","Able's House Is Green, The","Please Don't Touch Me","Thunder in Guyana","Aien kyo","Ribelli per caso","Thanatos"
19,83.06,188,"Custodial Code, The","Trollywood","Slavoj Zizek: The Reality of the Virtual","Chases of Pimple Street, The","Holly - Bolly","Nun Fu","Kiss on the Nose, A","Dalu","Krylya","Sexual Ecstasy of the Macumba"
67,94.56,8.82,"PX","Atrapados","Anantaram","Sky of an Archangel","Unbekannte Deserteur, Der","Nozze di Figaro, Le","Descent","Murs du silence, Les","Dosti","Trollywood"
38,67.32,61.33,"Reshimat Ahava","Emily's Last Date","Hotel Torgo","Happy Ending","Oru Vadakkan Veeragatha","I Wish My Beer Was as Cold as Your Heart","Precious Images","Akkareakkareakkare","Mi Puerto Rico","Preservation"
59,82.77,112.91,"P.E.","Metropolitan","Doing Time, Doing Vipassana","Consent","Devadasu","Embun","Mauvaise conduite","Marienthal: State of Emergency","Marg Yazdgerd","Halfway Point"
69,53.81,16.58,"Incredible Manitoba Animation","Two Days with Juliet","Blue in Green","Fara","Pulso, O","Itim","Land of Look Behind","Experiment, Das","Last Man Running","Mord und Totschlag"
60,50.73,4.01,"Baiju Bawra","Opasen char","Juntos, in any way","Manipulation","Drifting","Canceled Lives: Letters from the Inside","Cleopatra","Bharatham","Ostrov na strese","Death by Design: Where Parallel Worlds Meet"
70,79.33,26.42,"Curtis","Elephant Boy","Lipservice","Among Thieves","Sanpeet","Pulso, O","Tie Xi Qu: West of the Tracks - Part 2: Remnants","Mord und Totschlag","Mona Lisa Descending a Staircase","Itim"
47,62.6,117.79,"Daniel's Spark","Thisavros tou makariti, O","Ai-Fak","Weg ist das Spiel, Der","Wired 03:36","Valkoiset ruusut","Ukamau","Totul pentru fotbal","Cashback","Take It Back"
45,95.07,26.02,"Amants de Teruel, Les","Last Stand","Strange Aeons","Razor Eaters","Trollywood","Sister Helen","Verdugo, El","Groove Requiem in the Key of Ski","Home for the Bullets, A","Unbekannte Deserteur, Der"
36,49.34,69.1,"Clown","Totul pentru fotbal","Clarks","Icarus Descending","Oil Factor: Behind the War on Terror, The","Robin's Nest","Oro, Plata, Mata","David Nelson Live","En attendant la cigogne","Out-of-Body Experience"
66,54.12,21.59,"Aapathbandavudu","Quintrala, La","Ride, The","Boy","Mystic Motel, The","Selubung","Derniers feux","Dusk","Yurusarezaru mono","Sailor in the Wild"
56,78.78,22.78,"Hopscotch","Trollywood","America 101","Juntos, in any way","Godfather, The","Catene","Backjumping","Offering, The","Aru eiga-kantoku no shogai","100 Years at the Movies"
57,64.47,12.32,"Bunker - Die letzten Tage","Beer Muscles","Tres tristes tigres","Silent Call, The","Hammer and Cycle","Judy's Time","Vers l'Inde","Shojo Hanazono","Evolver: Making of Youthanasia","Anne of Green Gables"
34,71,36.93,"Unconquered, The","Let's Rock Again!","Info Wars","River, The","Sky of an Archangel","Sveto mesto","Khamoshi","Empty Building, The","Totul pentru fotbal","Simpsons: Family Portrait, The"
32,72.85,3.79,"Portile albastre ale orasului","Tailspin Tommy in The Great Air Mystery","Baiju Bawra","Saturday Night at the Palace","Future of Food, The","Nearly Unadventurous Life of Zoe Cadwaulder, The","V chetverg i bolshe nikogda","Mr Firecul","Mond im Skorpion","Eating"
46,86.68,28.84,"Plight of Clownana, The","Apartment 206","Mis","More Than Famous","Aru eiga-kantoku no shogai","Dolor de pagar la renta, El","Hot Java","Hardwood Process","Paperchase in Berlin","Brothers... On Holy Ground"
64,41.15,7.79,"Bronx Cheers","Messe pour un corps","Judy Garland in Concert","Edward Said: The Last Interview","Herkus mantas","Murder Act One","Simpsons: Family Portrait, The","Familia de tantas, Una","Start of Something, The","Right Here, Right Now"
56,61.54,96.49,"American Beer","Yvonne Netter, avocate","Bench, The","Enoken no chakiri kinta 'Zen' - Mamayo sandogasa - Ikiha yoiyoi","Little Failures","Latitude Zero","Dieses Jahr in Czernowitz","Tie Xi Qu: West of the Tracks - Part 3: Rails","Mona Lisa Descending a Staircase","Boldog lovak"
56,66.6,1.78,"Strangers","Verdugo, El","Menq enq, mer sarere","Wilna Zona","Great Gabble, The","Film Geek","Ladendiebstahl","Ritzar bez bronya","Silent Whispers","Avantazh"
29,70.03,20.15,"Autorequiem","Day Out, A","Bint El-Harass","Ai-Fak","Tosca","Chasing Daylight","Island, The","Aien kyo","Piata Universitatii - Romania","Bharatham"
59,26.38,37.01,"Ketchup and Mustard Man, The","Under-Pup, The","North of Providence","Na klancu","Hardwood Process","San ge heshang","Wind Effect, The","Anton Ivanovich serditsya","Sakura no sono","Nadodikkattu"
56,105.93,33.98,"America 101","Able's House Is Green, The","Kan Zeh Lo Sham","Swingin' in the Painter's Room","Plus rien...","River, The","Nun Fu","Palacio presidencial!","Holly - Bolly","Ritzar bez bronya"
57,89.1,28.83,"Satsujin kyo jidai","Groove Requiem in the Key of Ski","Grande Mentecapto, O","Curtis","Mboutoukou","Chases of Pimple Street, The","Nadodikkattu","Ride","Uramisten","Garriage: A Documentary in 4 Chapters and an Epilogue"
55,91.66,18.37,"Tosca","Anne of Green Gables","Funeral de los dedos, El","Pee Shy","Shoe Store, The","Maman que man","Dark Agent and the Passing of the Torch Chapter 7, The","Fratii Jderi","Anton Ivanovich serditsya","Taken for a Ride"
70,60.36,10.79,"Anuradha","Message From Moonbase Alpha","Meet the Stars: Meet Roy Rogers","King of the Hill","Noam Chomsky: Personal Influences","Wedding Advice: Speak Now or Forever Hold Your Peace","Shoe Store, The","Zenith","Piggy Bank","Monique, Lip I"
56,79.66,4.83,"Start of Something, The","Perfect Eyes","Arc","Hardwood Process","Step Across the Border","Khamoshi","Dai chushingura","Private Road","Idealist","Rani radovi"
20,78.85,14.57,"Incredible Manitoba Animation","Bint El-Harass","Thanks for Nothing","Shojo Hanazono","Threshold: The Blue Angels Experience","Plight of Clownana, The","Nemuri Kyoshiro 3: Engetsugiri","Change Up","Ostrov na strese","Un festin d'amis"
27,47.34,9.33,"Travail","Miami","Mirt Sost Shi Amit","Cog","Space Available","Put More Blood Into the Music","100 Years at the Movies","Marg Yazdgerd","Throwing Down","Mighty Times: The Legacy of Rosa Parks"
34,73.35,17.12,"Clase z tropical","Focus","Marg Yazdgerd","Joyce Story, A","PX","Judy Garland in Concert","Good Fight, The","500 Years Later","TransAmazon: A Gender Queer Journey","F*Stop"
27,83.07,27.68,"Cashback","Inseguito","Sofi","Painted Door, The","Super Bitchin' Muscle Car","Optimisticheskaya tragediya","Land of Look Behind","Chords of Fame","Stagestruck: Gay Theatre in the 20th Century","Peaceable Kingdom"
21,61.1,3.43,"Family Portrait","BattleGround: 21 Days on the Empire's Edge","Most","90","Winter","Happy Ending","Mimmo & Paulie","Crude","Land of Look Behind","Memory of Justice, The"
20,37.23,22.35,"Judy's Time","J-K Conspiracy, The","Adamah","Weg ist das Spiel, Der","Mr Firecul","Burning the Grump","Pelli Chesi Choodu","Eternal Embrace","Anyone","Plus rien..."
52,37.43,20.37,"Icarus Descending","Edward Said: The Last Interview","Croaziera","Spaceman","Descent","Miracle Goes On, The","Menq enq, mer sarere","Otto","America's Sweetheart: The Mary Pickford Story","Leila Diniz"
29,106.78,48.7,"Two Lords","Plight of Clownana, The","Rent's Due","Devchata","Up Uranus!","Insomnia Is Good for You","Lebewohl, Fremde","Boy-Next-Door","Stay Clean","Body Language"
58,86.64,12.41,"Codename: Simon","Dozen Kliks, A","Put More Blood Into the Music","Kiga kaikyo","Nemuri Kyoshiro 3: Engetsugiri","Boys of Venice, The","Fim de Festa","Nemuri Kyoshiro 3: Engetsugiri","Ren Sheng","Mimmo & Paulie"
31,65.83,20.78,"Chernov/Chernov","Privarzaniyat balon","Miracle des loups, Le","Man Who Invented the Moon","Boldog lovak","Vestido, O","Martin Four","Menq enq, mer sarere","Spandex: A Father's Tale","Staccato Purr of the Exhaust"
20,78.68,54.32,"Maison de jade, La","Children of the Struggle","Nadodikkattu","Monique, Lip I","Please Don't Touch Me","Volshebnoye koltso","Izpit","Penis Envy","Elephant Boy","Monster Road"
67,45.51,5.25,"Taken for a Ride","Vita difficile, Una","Professor Columbus","Sceny narciarskie z Franzem Klammerem","One Dog Day","Hammer and Cycle","Mil e Uma","King of the Hill","Mr. James and the Plug of Mystery","Macabre Pair of Shorts"
51,56.44,46.6,"Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The","Juntos, in any way","Out of Our Dens: The Richard and the Young Lions Story","Mi Puerto Rico","Maledetta mia","Myster General, The","One Dog Day","Yvonne Netter, avocate","Holly - Bolly","Na voyne, kak na voyne"
32,66.38,32.8,"American Pictures","It's a Bird","Drifting","Perfect Candidate, The","Mutual Admiration Society","Fronterz","Point Five","Cachorros","That Lady From Peking","Causality"
50,74.47,15.76,"Message From Moonbase Alpha","Bint El-Harass","Goodnite Charlie","Baiju Bawra","Un amor de Borges","Sylvia, rimembri ancora?","Milton Is a Shitbag","Family Portrait","Piata Universitatii - Romania","Aien kyo"
46,72.25,12.54,"Out-of-Body Experience","Perfect Candidate, The","Seobe","Plus rien...","Harry Chapin: The Final Concert","Three Barbecues: A Blackened Comedy","Ixe","Ingmar Bergmanin maailma","Klezmer on Fish Street","Good Fight, The"
26,58.1,31.05,"Final Solution","Please Don't Touch Me","Daniel's Spark","Letters of Service","Berlin Berlin","Shao Lin san shi liu zhu","In Their Absence","Nieuwe gronden","To Be Alive!","C'est le vent"
39,74.61,17.56,"David Nelson Live","Home Improvements","Island, The","Future of Food, The","Blue in Green","Hummingbird","Kakabakaba ka ba?","Moondram Pirai","Focus Group","Uncrating and Assembly of the P-47 Thunderbolt Airplane"
50,61.76,39.38,"Murder of Fred Hampton, The","Theory of Revenge","Rokoko","As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty","Cerebrium","Bronx Cheers","Catene","Original Schtick","Slyozy kapali","Nozze di Figaro, Le"
18,68.09,35.73,"Privarzaniyat balon","Overtime","That Thing We Do","Carlos Castaneda: Enigma of a Sorcerer","PX","Classic Queen","Dani, Michi, Renato & Max","Offering, The","Coffee & Donuts","Moonlight in Vermont"
58,56.51,34.97,"Children of the Struggle","Scomparsa","Death by Design: Where Parallel Worlds Meet","Cleopatra","Verdugo, El","Baiju Bawra","Tailspin Tommy in The Great Air Mystery","Canceled Lives: Letters from the Inside","Death by Design: Where Parallel Worlds Meet","Fratii Jderi"
47,82.26,8.62,"Man on the Moon, The","Himala","90","Palacio presidencial!","Flip","Losing Ground","Chanoc y el hijo del Santo contra los vampiros asesinos","Two Lords","Devchata","Super Bitchin' Muscle Car"
22,83.34,5.77,"Miracle Goes On, The","Ai to nikushimi no kanata e","John Henry and the Inky-Poo","Ren Sheng","Original Schtick","Dark Agent and the Passing of the Torch Chapter 7, The","Focus Group","Deedar","Happy Ending","Hand of Fate"
19,61.44,12.01,"Silent Call, The","Anantaram","Amazones 2000","Freaks Uncensored!","Off","Cashback","Time with Nyenne","Final Solution","Khamoshi","Thanatopsis"
31,79.59,24.02,"Namukku Parkkan Munthiri Thoppukal","Prazdnik svyatogo Yorgena","Night of the Dog","Tak for Alt: Survival of a Human Spirit","Un amor de Borges","Deathdealer: A Documentary","Judy Garland in Concert","Darcy's Off-White Wedding","Drugiyat nash vazmozhen zhivot","Looking Up"
19,85.02,37.01,"Professor Columbus","Simitrio","Consent","Handicap","Spaceman","Professor Columbus","Bona","Akai tenshi","Halmat na borovinkite","Hausu"
26,75.14,131.33,"Hamster PSA","Old Ironsides","Hammer and Cycle","Viaje sin destino","Sakura no sono","Valkoiset ruusut","Akatsuki no dasso","Ai to nikushimi no kanata e","Ekdromi, I","Dalu"
45,77.89,112.35,"Buck Nelson Presents: Lifting the Cloak of Mystery Off Rock Drumming","Oil on Ice","Sister Helen","Tarheels and Short Skirts","Hamster PSA","Tupperware!","Satsujin kyo jidai","Start of Something, The","Cachorros","Drifting"
63,69.59,100.01,"Middle of the Moment","Simpsons: Family Portrait, The","Miracle des loups, Le","Matanza","Amor","P.E.","Embun","Amor","Family Portrait","Mboutoukou"
48,84.4,300,"Blood of the Beast","Fandom","Igazi Mao, Az","Super Bitchin' Muscle Car","Unbekannte Deserteur, Der","Mothers and Daughters","Chords of Fame","Chibideka monogatari","Lipservice","Stay Clean"
38,53.61,300,"Opasen char","Grauzone","Young Gentlemen","Sacred Is the Flesh","Slyozy kapali","Verdugo, El","Bunker - Die letzten Tage","Myster General, The","Bona","Escuela de vagabundos"
33,26.42,29.27,"Yvonne Netter, avocate","Emily's Last Date","Swingin' in the Painter's Room","Dark Agent and the Passing of the Torch Chapter 7, The","Obedience","Des Hoyaa Pardes","Perils in Nude Modeling","Drugiyat nash vazmozhen zhivot","Palacio presidencial!","Born In Freedom: The Story of Colonel Drake"
70,74.87,37.16,"Devchata","Nahapet","Mil e Uma","Legend of the Boy and the Eagle, The","Simpsons: Family Portrait, The","Incredible Manitoba Animation","Glissando","Consent","100 Years at the Movies","Threshold: The Blue Angels Experience"
22,82.93,57.82,"Precious Images","Karl May","Ride","Un festin d'amis","American Exile","Paperchase in Berlin","Handicap","Staromodnaya komediya","Ekdromi, I","In der Fremde"
43,56.11,60.84,"Marg Yazdgerd","Bharatham","Bharatham","Gallo de oro, El","Sanpeet","Clarks","Copi, je t'aime","Matriarhat","J-K Conspiracy, The","Aufbruch, Der"
28,81.11,37.99,"Apartment 206","Trafico, El","Des Hoyaa Pardes","Ingmar Bergmanin maailma","Fara","Ovo malo duse","Sacred Is the Flesh","Ride","Land of Look Behind","Life of Larry, The"
68,37.61,2.34,"Penis Envy","Three Sisters on Moon Lake","Simpsons: Family Portrait, The","Pulso, O","Chanoc y el hijo del Santo contra los vampiros asesinos","Cheshmane John Malkovich","Dai chushingura","Plight of Clownana, The","Glissando","Hopscotch"
64,76.54,3.93,"Cog","Offering, The","Guarding Eddy","Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The","Studie Nr. 10","Dance of the Weed","Sexual Ecstasy of the Macumba","Island, The","No abras nunca esa puerta","Ostrov na strese"
61,83.05,6.28,"Twelve Months","Innocence Project, The","Three Sisters on Moon Lake","Holly - Bolly","Let's Rock Again!","Manipulation","King of the Hill","Stagestruck: Gay Theatre in the 20th Century","Doing Time, Doing Vipassana","Last Stand"
33,47.77,7.51,"Vestido, O","Juggler of Our Lady, The","Step Across the Border","Insomnia Is Good for You","Era outra vez","Right Here, Right Now","Dohyosai","Hammer and Cycle","Zenith","Satyakam"
53,71.01,44.67,"In der Fremde","Young Americans","Paris minuit","There's Something About a Soldier","Ciprian Porumbescu","Mighty Times: The Legacy of Rosa Parks","Justicero, El","Offering, The","Three of Us, The","Berlin Berlin"
52,65.45,21.87,"Pushpak","Brothers... On Holy Ground","Pictures from a Revolution","Drive-by Shooting","Original Schtick","Night of the Dog","BattleGround: 21 Days on the Empire's Edge","Boy-Next-Door","Piggy Bank","State of Wonder"
64,78.92,35.91,"Directing Rye","Maso et Miso vont en bateau","Meet the Stars: Meet Roy Rogers","Up for Grabs","Codename: Simon","Learning to Swim","Herkus mantas","Tak for Alt: Survival of a Human Spirit","Shock Act","Shades"
45,88.05,21.41,"Hippie Highway","Rider Pride","Daniel's Spark","Maman que man","Hausu","Evolver: Making of Youthanasia","F*Stop","Na klancu","Iparhi kai filotimo","Quintrala, La"
37,90.95,41.21,"Erosu purasu Gyakusatsu","Perfect Candidate, The","Complex Sessions, The","Clown","Kiss on the Nose, A","Sechse kommen durch die Welt","Pee Shy","Miami","Drive-by Shooting","Berge in Flammen"
58,89.39,4.8,"Self Defense... for Cowards","Foet","Miami","Igazi Mao, Az","Sledvay me","Derniers feux","Marienthal: State of Emergency","Vacant Possession","Dark Agent and the Passing of the Torch Chapter 7, The","Byalata staya"
52,62.2,29.35,"Here After","Diary of a Bad Lad","Nahapet","Kamiondzije opet voze","Wilna Zona","Letters of Service","Professor Columbus","Milton Is a Shitbag","Ingmar Bergmanin maailma","Crazy Love"
27,52.91,45.27,"Merika","TankUp.US","Thanatos","Plus rien...","Doing Time, Doing Vipassana","So Many Miracles","Deep Down in Florida","Plus rien...","Pee Shy","Looking Out"
60,65.18,7.37,"King of the Hill","Juntos, in any way","Michel J","Cog","Scomparsa","Satsujin kyo jidai","Unconquered, The","Monster Road","Missy","Hopscotch"
44,82.84,62.06,"Halmat na borovinkite","Enoken no chakiri kinta 'Zen' - Mamayo sandogasa - Ikiha yoiyoi","Juntos, in any way","Info Wars","Angae","Joyce Story, A","Hopscotch","Iarna bobocilor","American Exile","Eternal Embrace"
29,43.5,40.81,"Thanatopsis","Icarus Descending","Slonyonok","Art Pepper: Notes from a Jazz Survivor","Fandom","Thisavros tou makariti, O","Super Bitchin' Muscle Car","Jonas","PX","Aurelia Steiner (Melbourne)"
37,74.4,14.25,"Funeral de los dedos, El","Apartment 206","Private Road","No abras nunca esa puerta","Shura","Outside","Judy's Time","Date, The","Neurosia - 50 Jahre pervers","Chanoc y el hijo del Santo contra los vampiros asesinos"
39,51.28,57.93,"Space Available","Bear Country","Mystic Motel, The","Autorequiem","Bingo! The Documentary","Thunder in Guyana","Devadasu","Daniel's Spark","Mord und Totschlag","Chibideka monogatari"
32,80.22,15.03,"Sembilu II","+1 -1","Nadodikkattu","Avantazh","Dalu","Soy Cuba, O Mamute Siberiano","Bint El-Harass","Standing by Yourself","Marg Yazdgerd","Silent Whispers"
42,82.12,30.99,"Earl's Your Uncle","Ribelli per caso","Tenamonya yurei dochu","Silver Bells","Middle of the Moment","Among Thieves","Dieses Jahr in Czernowitz","Point Five","Letters of Service","Big Question, The"
29,50.78,24.34,"Tailspin Tommy in The Great Air Mystery","Catene","Shawshank Redemption, The","Relasyon","Dva boytsa","Dani, Michi, Renato & Max","Ostrov na strese","Amazones 2000","Umi to dokuyaku","Sacred Is the Flesh"
45,75.81,12.83,"Brothers... On Holy Ground","Frodo Is Great... Who Is That?!!","Kommunist","Oro, Plata, Mata","Noam Chomsky: Personal Influences","Kommunist","Unbekannte Deserteur, Der","Nieuwe gronden","Moonlight in Vermont","Staccato Purr of the Exhaust"
40,72.87,10.3,"Visit from the Incubus, A","Harry Chapin: The Final Concert","Soliloquy","Klezmer on Fish Street","Start of Something, The","Boy","Tosca","Joyce Story, A","Most","Foet"
42,73.33,14.73,"Piggy Bank","Ennio Morricone: la musica negli occhi","Sigmund the See Monster","Looking Up","Wachsexperimente","Anantaram","Affittasi appartamento","Fantasmas burlones, Los","Mumi-troll i drugie","C'est le vent"
54,94.64,15.54,"Mil e Uma","Pony","Inseguito","Clase z tropical","Sigmund the See Monster","Great Gabble, The","Sagara Sangamam","Tarheels and Short Skirts","Diary of a Bad Lad","Big Question, The"
58,101.97,67.57,"Wana","Veronika's Birthday","Unbekannte Deserteur, Der","Satsujin kyo jidai","Selubung","Ponchada","Un homme qui dort","Optimisticheskaya tragediya","Oro, Plata, Mata","TransAmazon: A Gender Queer Journey"
