Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Ryan Suarez,CHV,D,19,16,1309,1,0,3,1,0,0/0,0,1,0.07,33.3,0,0,0,0.0,18,18,1,2,0,33.33,2005,reg
Esteban Arias,CHV,D,15,14,1141,1,0,3,2,0,0/0,0,1,0.08,33.3,0,0,0,0.0,42,9,0,4,1,66.67,2005,reg
Nana Kuffour,DC ,F,3,2,180,1,0,3,1,0,0/0,0,1,0.5,33.3,0,0,0,0.0,4,3,1,0,0,33.33,2005,reg
Michael Enfield,LA ,M-F,6,2,247,1,0,4,2,0,0/0,1,0,0.36,25.0,0,0,0,0.0,1,2,1,0,0,50.0,2005,reg
Will Johnson,CHI,D,6,1,161,1,0,4,2,0,0/0,0,1,0.56,25.0,0,0,0,0.0,5,1,0,1,1,50.0,2005,reg
Kevin Novak,RSL,D,3,2,220,1,0,4,2,0,0/0,0,1,0.41,25.0,0,0,0,0.0,4,4,1,0,0,50.0,2005,reg
Fabrice Noel,COL,F,7,0,123,1,0,5,3,1,0/0,0,1,0.73,20.0,0,0,0,0.0,0,5,2,0,0,60.0,2005,reg
Facundo Erpen,DC ,D,8,8,696,1,0,5,4,0,0/0,0,1,0.13,20.0,0,0,0,0.0,11,10,0,4,0,80.0,2005,reg
Troy Dayak,SJ ,D,7,7,551,1,0,5,1,0,0/0,1,0,0.16,20.0,0,0,0,0.0,5,1,0,0,0,20.0,2005,reg
Pablo Mastroeni,COL,M,14,12,942,1,0,5,3,1,0/0,1,0,0.1,20.0,0,0,0,0.0,14,16,0,3,1,60.0,2005,reg
Pablo Chinchilla,LA ,D,19,17,1399,1,0,7,2,1,0/0,0,1,0.06,14.3,0,0,0,0.0,11,9,0,2,0,28.57,2005,reg
Mike Petke,COL,D,26,26,2250,1,0,7,4,0,0/0,1,0,0.04,14.3,0,0,0,0.0,40,16,1,7,0,57.14,2005,reg
Wolde Harris,COL,F,10,5,504,1,0,7,4,0,1/1,1,0,0.18,14.3,0,0,0,0.0,20,3,3,0,0,57.14,2005,reg
Eddie Pope,RSL,D,20,20,1756,1,0,8,4,0,0/0,1,0,0.05,12.5,0,0,0,0.0,20,15,0,0,1,50.0,2005,reg
Jack Stewart,CHI,D,9,3,400,1,0,10,5,0,0/0,1,0,0.23,10.0,0,0,0,0.0,4,2,0,1,0,50.0,2005,reg
Domenic Mediate,CLB,M,11,4,475,1,0,12,7,0,0/0,0,1,0.19,8.3,0,0,0,0.0,8,10,1,0,0,58.33,2005,reg
Mario Rodriguez,CLB,M,19,15,1309,1,0,22,9,0,0/1,0,1,0.07,4.5,0,0,0,0.0,24,27,16,2,1,40.91,2005,reg
Juan Pablo Garcia,CHV,M,9,9,771,1,0,23,14,0,0/0,0,1,0.12,4.3,0,0,0,0.0,15,10,4,2,0,60.87,2005,reg
Kyle Martino,CLB,M,27,27,2248,0,8,24,9,0,0/1,0,0,0.0,0.0,3,4,4,0.32,32,77,15,6,1,37.5,2005,reg
Mark Lisi,MET,M,28,22,1971,0,5,19,6,0,0/0,0,0,0.0,0.0,1,3,2,0.23,36,18,2,3,0,31.58,2005,reg
Kerry Zavagnin,KC ,M,28,27,2421,0,4,13,4,0,0/0,0,0,0.0,0.0,1,2,2,0.15,37,35,0,5,0,30.77,2005,reg
Tim Ward,MET,D,13,11,1033,0,3,6,2,0,0/0,0,0,0.0,0.0,1,2,1,0.26,14,16,2,4,0,33.33,2005,reg
Ned Grabavoy,LA ,M,12,9,655,0,3,8,0,0,0/0,0,0,0.0,0.0,0,3,0,0.41,8,18,0,0,0,0.0,2005,reg
Orlando Perez,CHV,D,27,24,2068,0,3,8,4,0,0/0,0,0,0.0,0.0,0,1,2,0.13,39,12,0,2,1,50.0,2005,reg
Joe Franchino,NE ,M,24,23,2011,0,3,10,4,0,0/0,0,0,0.0,0.0,0,1,2,0.13,40,19,0,2,0,40.0,2005,reg
Carey Talley,DAL,D,20,14,1092,0,3,11,4,0,0/0,0,0,0.0,0.0,1,3,0,0.25,17,16,2,2,1,36.36,2005,reg
C.J. Brown,CHI,D,20,18,1657,0,2,2,0,0,0/0,0,0,0.0,0.0,2,1,1,0.11,19,18,0,6,0,0.0,2005,reg
Logan Pause,CHI,M,27,24,2093,0,2,2,1,0,0/0,0,0,0.0,0.0,1,1,1,0.09,14,22,0,2,0,50.0,2005,reg
Dan Gargan,COL,D,12,5,511,0,2,2,0,0,0/0,0,0,0.0,0.0,0,0,2,0.35,7,12,0,1,0,0.0,2005,reg
John Wilson,DC ,D,17,11,1098,0,2,5,2,0,0/0,0,0,0.0,0.0,0,0,2,0.16,26,14,2,2,0,40.0,2005,reg
Leslie Fitzpatrick,RSL,M,18,6,707,0,2,8,6,0,0/0,0,0,0.0,0.0,0,1,1,0.25,11,13,0,0,0,75.0,2005,reg
David Wagenfuhr,DAL,D,19,15,1368,0,2,8,2,0,0/0,0,0,0.0,0.0,2,2,0,0.13,22,15,0,1,0,25.0,2005,reg
Robert Scarlett,RSL,M-D,9,8,719,0,2,8,3,0,0/0,0,0,0.0,0.0,0,0,2,0.25,7,5,3,0,0,37.5,2005,reg
Ritchie Kotschau,COL,D,28,25,2271,0,2,8,1,0,0/0,0,0,0.0,0.0,1,1,1,0.08,37,16,0,2,0,12.5,2005,reg
Diego Gutierrez,KC ,D,21,18,1701,0,2,13,3,0,0/0,0,0,0.0,0.0,0,2,0,0.11,39,38,1,5,1,23.08,2005,reg
Todd Dunivant,LA ,D,32,32,2880,0,2,14,3,0,0/0,0,0,0.0,0.0,0,2,0,0.06,34,20,3,3,0,21.43,2005,reg
Paulo Nagamura,LA ,M,25,24,2028,0,2,21,8,0,0/0,0,0,0.0,0.0,1,1,1,0.09,43,28,0,7,0,38.1,2005,reg
Francisco Mendoza,CHV,M,24,20,1877,0,2,26,11,0,0/0,0,0,0.0,0.0,2,1,1,0.1,21,48,3,5,0,42.31,2005,reg
Avery John,NE ,D,14,13,1167,0,1,0,0,0,0/0,0,0,0.0,0.0,0,1,0,0.08,24,14,0,2,0,,2005,reg
Gustavo Cabrera,RSL,D,4,4,360,0,1,0,0,0,0/0,0,0,0.0,0.0,0,0,1,0.25,6,4,0,2,0,,2005,reg
Manny Lagos,CLB,M,5,2,187,0,1,0,0,0,0/0,0,0,0.0,0.0,1,1,0,0.48,4,4,0,1,0,,2005,reg
Steve Guppy,DC ,M,5,4,285,0,1,1,0,0,0/0,0,0,0.0,0.0,0,1,0,0.32,1,4,4,1,0,0.0,2005,reg
Tony Sanneh,CHI,D,12,11,988,0,1,1,1,0,0/0,0,0,0.0,0.0,0,1,0,0.09,7,10,0,1,0,100.0,2005,reg
Leo Cullen,COL,M,15,8,750,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,0.12,4,3,0,3,0,0.0,2005,reg
Craig Waibel,SJ ,D,6,6,527,0,1,1,0,0,0/0,0,0,0.0,0.0,0,1,0,0.17,7,2,0,0,0,0.0,2005,reg
Kevin Goldthwaite,SJ ,D,3,2,147,0,1,1,1,0,0/0,0,0,0.0,0.0,1,0,1,0.61,3,2,0,1,1,100.0,2005,reg
Ugo Ihemelu,LA ,D,25,23,2030,0,1,1,0,0,0/0,0,0,0.0,0.0,0,0,1,0.04,39,32,1,4,1,0.0,2005,reg
Seth Stammler,MET,M-D,10,3,358,0,1,2,2,0,0/0,0,0,0.0,0.0,1,0,1,0.25,7,1,0,2,0,100.0,2005,reg
Will John,CHI,M-F,6,2,199,0,1,2,0,0,0/0,0,0,0.0,0.0,1,0,1,0.45,4,2,1,0,0,0.0,2005,reg
Antti Sumiala,KC ,F,2,2,116,0,1,2,1,0,0/0,0,0,0.0,0.0,0,1,0,0.78,4,2,2,0,0,50.0,2005,reg
Mark Schulte,CLB,D,19,18,1540,0,1,2,0,0,0/0,0,0,0.0,0.0,0,0,1,0.06,30,20,0,3,0,0.0,2005,reg
David Stokes,DC ,D,10,3,388,0,1,2,1,0,0/0,0,0,0.0,0.0,1,1,0,0.23,12,4,0,0,0,50.0,2005,reg
Brian Roberts,KC ,D,11,3,337,0,1,3,0,0,0/0,0,0,0.0,0.0,0,0,1,0.27,6,2,0,1,0,0.0,2005,reg
Rusty Pierce,RSL,D,15,15,1200,0,1,3,1,0,0/0,0,0,0.0,0.0,0,1,0,0.08,20,24,0,3,0,33.33,2005,reg
Hunter Freeman,COL,D,20,14,1216,0,1,5,2,0,0/0,0,0,0.0,0.0,1,1,0,0.07,21,12,0,4,1,40.0,2005,reg
Jeff Parke,MET,D,21,19,1632,0,1,6,1,0,0/0,0,0,0.0,0.0,0,1,0,0.06,25,14,0,4,0,16.67,2005,reg
Francisco Gomez,CHV,M,12,8,648,0,1,6,0,0,0/0,0,0,0.0,0.0,0,0,1,0.14,17,8,0,2,0,0.0,2005,reg
Marcus Storey,CLB,M-F,12,3,381,0,1,6,1,0,0/0,0,0,0.0,0.0,1,1,0,0.24,3,8,1,0,0,16.67,2005,reg
Luke Kreamalmeyer,RSL,M,6,2,247,0,1,6,2,0,0/0,0,0,0.0,0.0,0,0,1,0.36,0,7,0,0,0,33.33,2005,reg
Dante Washington,CLB,F,9,2,281,0,1,7,3,0,0/0,0,0,0.0,0.0,0,1,0,0.32,3,7,2,0,0,42.86,2005,reg
Chris Leitch,MET,D,28,26,2343,0,1,8,2,0,0/0,0,0,0.0,0.0,0,0,1,0.04,22,16,1,7,0,25.0,2005,reg
Simo Valakari,DAL,M,28,28,2471,0,1,8,1,0,0/0,0,0,0.0,0.0,0,1,0,0.04,78,28,0,8,0,12.5,2005,reg
Greg Vanney,DAL,D,25,25,2210,0,1,8,5,0,0/0,0,0,0.0,0.0,0,1,0,0.04,40,14,1,4,1,62.5,2005,reg
Guy Melamed,COL,M-D,14,10,910,0,1,10,2,0,0/0,0,0,0.0,0.0,1,1,0,0.1,29,12,0,4,2,20.0,2005,reg
Clyde Simms,DC ,M,26,12,1263,0,1,13,3,0,0/0,0,0,0.0,0.0,0,1,0,0.07,3,6,0,1,0,23.08,2005,reg
Nat Borchers,COL,D,31,31,2721,0,1,13,2,0,0/0,0,0,0.0,0.0,0,0,1,0.03,32,24,0,7,1,15.38,2005,reg
Danny Szetela,CLB,M,16,13,1116,0,1,16,1,0,0/0,0,0,0.0,0.0,0,0,1,0.08,36,20,0,3,0,6.25,2005,reg
Alecko Eskandarian,DC ,F,12,7,661,0,1,21,8,0,0/0,0,0,0.0,0.0,0,1,0,0.14,17,8,2,1,0,38.1,2005,reg
Stephen Keel,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Jeff Larentowicz,ATL,M,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Michael Parkhurst,NE ,D,32,32,2880,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,19,0,2,0,,2005,reg
Chris Wondolowski,SJ,F,2,0,5,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,1,0,,2005,reg
Ryan Raybould,KC ,D-M,1,0,10,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,,2005,reg
Stephen deRoux,DC ,M-D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Marlon Rojas,RSL,D-M,7,6,507,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,5,1,1,0,,2005,reg
Daniel Garipe,MET,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Leonard Griffin,CHI,D,3,2,151,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,3,1,1,1,,2005,reg
Amir Lowery,COL,M,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Lucio Filomeno,DC ,F,1,0,22,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,3,0,0,0,,2005,reg
Eugene Sepuya,COL,F,1,0,18,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2005,reg
Hector Castro,CHV,M-D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Roger Levesque,SJ ,M,1,0,11,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Josh Gardner,LA ,M,1,0,13,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,,2005,reg
Victor Arbelaez,CHV,D-M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Kenny Arena,DC ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Mike Munoz,CHV,M,1,0,15,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Rodrigo López,CHV,M,1,0,5,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Jason Hernandez,MET,D,3,3,268,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,2,0,1,0,,2005,reg
Christian Jimenez,CHV,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Quavas Kirk,LA ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Joshua Elbaum,COL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Chris Corcoran,MET,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Guillermo Gonzalez,LA ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Sasha Gotsmanov,COL,F,1,0,21,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Jamie Holmes,NE ,F,1,0,20,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,,2005,reg
Michael Erush,CHV,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Ryan Kelly,CLB,D,7,3,296,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,1,0,0,0,,2005,reg
Cameron Knowles,RSL,D,4,3,346,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,2,0,1,0,,2005,reg
Shawn Kuykendall,DC ,M,2,0,10,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,0,1,0,,2005,reg
Aaron Lanes,SJ ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Douglas Lascody,KC ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Ramon Bailey,MET,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Benjamin Benditson,LA ,D,1,0,21,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Milton Blanco,CHV,M-F,5,0,40,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,3,0,0,0,,2005,reg
Dustin Branan,KC ,D,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Mamadou Diallo,MET,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Daniel Dobson,KC ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Tighe Dombrowski,SJ ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Hollis Donaldson,CHI,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Devin Barclay,CLB,F,1,0,19,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0,,2005,reg
Tony Lochhead,NE ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Ricardo Phillips,NE ,M-F,4,0,34,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,,2005,reg
Luis Gallardo,CLB,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Felix Brillant,NE ,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Robin Fraser,CLB,D,29,29,2607,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,31,8,0,7,0,,2005,reg
Wes Hart,SJ ,D-M,7,1,175,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,,2005,reg
Jeff Stewart,RSL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Stephen Herdsman,CLB,D,7,7,467,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,4,0,0,0,,2005,reg
Eric Quill,DAL,F,2,0,11,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
David Johnson,LA ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Philip Salyer,DAL,D,2,2,180,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,1,1,0,0,,2005,reg
Eliseo Quintanilla,DC ,F-M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Duncan Oughton,CLB,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Craig Capano,CHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Ross Paule,CLB,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Tim Merritt,DC ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
John Minagawa-Webster,KC ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Jared Montz,CHI,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Michael Nsien,LA ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Sergio Flores,RSL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Tim Lawson,DC ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Michael Lookingland,RSL,D,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,0,0,0,0,,2005,reg
Winston Marshall,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Ty Maurin,DAL,M,3,0,16,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Pat McGinnis,KC ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
John Pulido,DAL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Orlando Ramirez,SJ ,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Brett Rodriguez,SJ ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Marcos Romaneiro,NE ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Andy Rosenband,CHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Marcus Sagastume,COL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Jason Thompson,DC ,F,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2005,reg
Mario Torres,DAL,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
James Twellman,SJ ,D,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Nick Van Sicklen,DC ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Luke Vercollone,NE ,M,3,0,35,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,0,0,0,0,,2005,reg
Diego Walsh,KC ,M,1,0,16,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
DeMetrius White,CHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Easton Wilson,NE ,M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Alex Woods,DAL,F-M,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,,2005,reg
Aaron Lopez,CHV,D-M,4,3,237,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,4,0,1,1,100.0,2005,reg
Ricky Lewis,COL,D,16,16,1298,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,23,13,0,2,0,100.0,2005,reg
Alfonso Loera,CHV,D,12,9,875,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,22,7,0,2,1,100.0,2005,reg
Martin Morales,COL,M,1,1,61,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,0.0,2005,reg
Matt Nickell,DC ,F,4,0,30,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,1,1,0,0,100.0,2005,reg
Paul Broome,LA ,M,14,11,1001,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,14,18,2,4,0,0.0,2005,reg
Diego Serna,COL,F,1,0,13,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,100.0,2005,reg
Cassio,NE ,M,3,2,111,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,4,1,0,0,100.0,2005,reg
Justin Detter,KC ,F,4,0,40,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2005,reg
Gilberto Flores,MET,M,3,0,37,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2005,reg
Matt Crawford,COL,M,4,3,256,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,4,0,0,0,0.0,2005,reg
Alan Gordon,LA ,F,5,3,200,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,8,2,5,1,0,0.0,2005,reg
Nikolas Besagno,RSL,M,2,1,69,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,1,0,0.0,2005,reg
Danilo Silva,LAFC,D,5,0,60,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,1,0,0,0,100.0,2005,reg
Alex Yi,DAL,D,1,1,66,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,3,0,1,0,0.0,2005,reg
Carlos Mendes,MET,D,24,21,1916,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,33,19,0,5,0,0.0,2005,reg
Ryan Cochrane,SJ ,D,14,6,775,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,2,0,3,0,0.0,2005,reg
Jermaine Hue,KC ,M,3,1,55,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,3,0,0,0,0.0,2005,reg
Troy Roberts,LA ,D,14,9,822,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,19,7,1,3,0,0.0,2005,reg
Scott Buete,CHI,M,8,4,364,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,6,7,0,0,0,50.0,2005,reg
Armando Begines,CHV,D,22,18,1658,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,31,12,0,3,0,50.0,2005,reg
Ian Russell,SJ ,D,13,2,234,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,7,0,1,0,50.0,2005,reg
Evan Whitfield,RSL,D,5,0,133,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,5,1,1,0,50.0,2005,reg
Leighton O'Brien,RSL,M,6,1,234,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,3,0,1,0,50.0,2005,reg
Nelson Akwari,RSL,D,23,21,1887,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,22,14,1,5,0,33.33,2005,reg
Brandon Prideaux,DC ,D,29,28,2455,0,0,3,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,48,37,0,4,0,66.67,2005,reg
Ryan Latham,NE ,F,6,1,155,0,0,3,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,3,4,0,0,0,66.67,2005,reg
Chris Aloisi,SJ ,D,6,5,494,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,9,8,0,2,0,33.33,2005,reg
Shavar Thomas,KC ,D,25,24,2011,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,26,13,0,4,0,0.0,2005,reg
Tim Regan,MET,D,20,18,1641,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,22,12,1,5,1,33.33,2005,reg
Danny O'Rourke,SJ ,D,13,12,1049,0,0,4,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,35,16,0,3,0,50.0,2005,reg
Steve Jolley,DAL,D,13,12,1057,0,0,4,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,16,8,1,1,0,50.0,2005,reg
Mubarike Chisoni,LA ,M,11,1,304,0,0,4,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,2,3,1,0,50.0,2005,reg
