"Item_Name","Item_Description","Food_Category","Calories","Total_Fat","Saturated_Fat","Trans_Fat","Cholesterol","Sodium","Potassium","Carbohydrates","Protein","Sugar","Dietary_Fiber","Calories_100g","Total_Fat_100g","Saturated_Fat_100g","Trans_Fat_100g","Cholesterol_100g","Sodium_100g","Potassium_100g","Carbohydrates_100g","Protein_100g","Sugar_100g","Dietary_Fiber_100g"
"Deluxe on Hand Tossed Crust, Medium","Deluxe on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Cheese, Pepperoni, Italian Sausage, Green Peppers, Mushrooms, Onions & Garlic Seasoned Crust, Medium 12"", Specialty Pizza, Pizza","Pizza",230,9,4,0,20,510,NA,27,9,2,1,217,8,4,0,19,481,NA,25,8,2,1
"Deluxe on Hand Tossed Crust, Small","Deluxe on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Cheese, Pepperoni, Italian Sausage, Green Peppers, Mushrooms, Onions & Garlic Seasoned Crust, Small 10"", Specialty Pizza, Pizza","Pizza",220,9,4,0,20,480,NA,26,8,2,1,224,9,4,0,20,490,NA,27,8,2,1
"ExtravaganZZa on Hand Tossed Crust, Extra Large","ExtravaganZZa on Hand Tossed Crust, Extra Large 16"", Specialty Pizza, Pizza","Pizza",500,23,10,0,60,1330,NA,50,22,4,3,213,10,4,0,26,566,NA,21,9,2,1
"ExtravaganZZa on Hand Tossed Crust, Large","ExtravaganZZa on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Extra Cheese, Pepperoni, Italian Sausage, Beef, Ham, Black Olives, Green Peppers, Mushrooms, Onions & Garlic Seasoned Crust, Large 14"", Specialty Pizza, Pizza","Pizza",380,18,7,0,45,990,NA,38,17,3,2,213,10,4,0,25,556,NA,21,10,2,1
"ExtravaganZZa on Hand Tossed Crust, Medium","ExtravaganZZa on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Extra Cheese, Pepperoni, Italian Sausage, Beef, Ham, Black Olives, Green Peppers, Mushrooms, Onions & Garlic Seasoned Crust, Medium 12"", Specialty Pizza, Pizza","Pizza",280,13,5,0,30,720,NA,28,12,2,2,217,10,4,0,23,558,NA,22,9,2,2
"ExtravaganZZa on Hand Tossed Crust, Small","ExtravaganZZa on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Extra Cheese, Pepperoni, Italian Sausage, Beef, Ham, Black Olives, Green Peppers, Mushrooms, Onions & Garlic Seasoned Crust, Small 10"", Specialty Pizza, Pizza","Pizza",260,12,5,0,30,660,NA,27,11,2,2,220,10,4,0,25,559,NA,23,9,2,2
"Honolulu Hawaiian on Hand Tossed Crust, Extra Large","Honolulu Hawaiian on Hand Tossed Crust, Extra Large 16"", Specialty Pizza, Pizza","Pizza",430,16,7,0,50,1090,NA,49,19,6,3,224,8,4,0,26,568,NA,26,10,3,2
"Honolulu Hawaiian on Hand Tossed Crust, Large","Honolulu Hawaiian on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Cheese, Ham, Bacon, Provolone Cheese, Pineapple, Red Peppers & Garlic Seasoned Crust, Large 14"", Specialty Pizza, Pizza","Pizza",330,13,6,0,35,830,NA,38,15,4,2,226,9,4,0,24,568,NA,26,10,3,1
"Honolulu Hawaiian on Hand Tossed Crust, Medium","Honolulu Hawaiian on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Cheese, Ham, Bacon, Provolone Cheese, Pineapple, Red Peppers & Garlic Seasoned Crust, Medium 12"", Specialty Pizza, Pizza","Pizza",240,10,4,0,30,610,NA,28,11,3,1,224,9,4,0,28,570,NA,26,10,3,1
"Honolulu Hawaiian on Hand Tossed Crust, Small","Honolulu Hawaiian on Hand Tossed Crust, Small 10"", Specialty Pizza, Pizza","Pizza",230,9,4,0,25,560,NA,26,10,3,1,232,9,4,0,25,566,NA,26,10,3,1
"MeatZZa on Hand Tossed Crust, Extra Large","MeatZZa on Hand Tossed Crust, Extra Large 16"", Specialty Pizza, Pizza","Pizza",490,22,10,0,60,1270,NA,49,22,4,3,240,11,5,0,29,623,NA,24,11,2,1
"MeatZZa on Hand Tossed Crust, Large","MeatZZa on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Extra Cheese, Pepperoni, Italian Sausage, Beef, Ham & Garlic Seasoned Crust, Large 14"", Specialty Pizza, Pizza","Pizza",370,17,7,0,45,940,NA,37,16,3,2,239,11,5,0,29,606,NA,24,10,2,1
"MeatZZa on Hand Tossed Crust, Medium","MeatZZa on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Extra Cheese, Pepperoni, Italian Sausage, Beef, Ham & Garlic Seasoned Crust, Medium 12"", Specialty Pizza, Pizza","Pizza",270,12,5,0,30,690,NA,27,12,2,1,239,11,4,0,27,611,NA,24,11,2,1
"MeatZZa on Hand Tossed Crust, Small","MeatZZa on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Extra Cheese, Pepperoni, Italian Sausage, Beef, Ham & Garlic Seasoned Crust, Small 10"", Specialty Pizza, Pizza","Pizza",260,12,4,0,30,640,NA,26,11,2,1,245,11,4,0,28,604,NA,25,10,2,1
"Memphis BBQ Chicken on Hand Tossed Crust, Extra Large","Memphis BBQ Chicken on Hand Tossed Crust, Extra Large 16"", Specialty Pizza, Pizza","Pizza",450,17,9,0,55,850,NA,52,21,7,2,246,9,5,0,30,464,NA,28,11,4,1
"Memphis BBQ Chicken on Hand Tossed Crust, Large","Memphis BBQ Chicken on Hand Tossed Crust w/ BBQ Sauce, Cheese, Chicken, Cheddar Cheese, Provolone Cheese, Onions & Garlic Seasoned Crust, Large 14"", Specialty Pizza, Pizza","Pizza",350,14,7,0,45,660,NA,39,17,6,2,248,10,5,0,32,468,NA,28,12,4,1
"Memphis BBQ Chicken on Hand Tossed Crust, Medium","Memphis BBQ Chicken on Hand Tossed Crust w/ BBQ Sauce, Cheese, Chicken, Cheddar Cheese, Provolone Cheese, Onions & Garlic Seasoned Crust, Medium 12"", Specialty Pizza, Pizza","Pizza",260,10,4,0,30,490,NA,29,12,4,1,248,10,4,0,29,467,NA,28,11,4,1
"Memphis BBQ Chicken on Hand Tossed Crust, Small","Memphis BBQ Chicken on Hand Tossed Crust w/ BBQ Sauce, Cheese, Chicken, Cheddar Cheese, Provolone Cheese, Onions & Garlic Seasoned Crust, Small 10"", Specialty Pizza, Pizza","Pizza",240,9,4,0,25,430,NA,27,11,3,1,255,10,4,0,27,457,NA,29,12,3,1
"Pacific Veggie on Hand Tossed Crust, Extra Large","Pacific Veggie on Hand Tossed Crust, Extra Large 16"", Specialty Pizza, Pizza","Pizza",390,14,7,0,35,840,NA,48,17,4,3,201,7,4,0,18,433,NA,25,9,2,2
"Pacific Veggie on Hand Tossed Crust, Large","Pacific Veggie on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Cheese, Feta Cheese, Provolone Cheese, Black Olives, Mushrooms, Onions, Red Peppers, Spinach, Tomatoes & Garlic Seasoned Crust, Large 14"", Specialty Pizza, Pizza","Pizza",310,11,5,0,30,660,NA,37,13,3,2,205,7,3,0,20,437,NA,25,9,2,1
"Pacific Veggie on Hand Tossed Crust, Medium","Pacific Veggie on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Cheese, Feta Cheese, Provolone Cheese, Black Olives, Mushrooms, Onions, Red Peppers, Spinach, Tomatoes & Garlic Seasoned Crust, Medium 12"", Specialty Pizza, Pizza","Pizza",230,8,4,0,20,490,NA,27,10,2,2,209,7,4,0,18,445,NA,25,9,2,2
"Pacific Veggie on Hand Tossed Crust, Small","Pacific Veggie on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Cheese, Feta Cheese, Provolone Cheese, Black Olives, Mushrooms, Onions, Red Peppers, Spinach, Tomatoes & Garlic Seasoned Crust, Small 10"", Specialty Pizza, Pizza","Pizza",210,8,4,0,20,430,NA,25,9,2,1,214,8,4,0,20,439,NA,26,9,2,1
"Philly Cheese Steak on Hand Tossed Crust, Extra Large","Philly Cheese Steak on Hand Tossed Crust, Extra Large 16"", Specialty Pizza, Pizza","Pizza",400,16,8,0,45,930,NA,46,17,3,2,237,9,5,0,27,550,NA,27,10,2,1
"Philly Cheese Steak on Hand Tossed Crust, Large","Philly Cheese Steak on Hand Tossed Crust w/ Philly Steak, American Cheese, Provolone Cheese, Green Peppers, Mushrooms, Onions & Garlic Seasoned Crust, Large 14"", Specialty Pizza, Pizza","Pizza",310,13,6,0,35,730,NA,35,14,2,2,238,10,5,0,27,562,NA,27,11,2,2
"Philly Cheese Steak on Hand Tossed Crust, Medium","Philly Cheese Steak on Hand Tossed Crust w/ Philly Steak, American Cheese, Provolone Cheese, Green Peppers, Mushrooms, Onions & Garlic Seasoned Crust, Medium 12"", Specialty Pizza, Pizza","Pizza",230,10,4,0,25,570,NA,26,10,2,1,237,10,4,0,26,588,NA,27,10,2,1
"Philly Cheese Steak on Hand Tossed Crust, Small","Philly Cheese Steak on Hand Tossed Crust w/ Philly Steak, American Cheese, Provolone Cheese, Green Peppers, Mushrooms, Onions & Garlic Seasoned Crust, Small 10"", Specialty Pizza, Pizza","Pizza",220,9,4,0,25,520,NA,25,10,2,1,244,10,4,0,28,578,NA,28,11,2,1
"Spinach & Feta on Hand Tossed Crust, Extra Large","Spinach & Feta on Hand Tossed Crust, Extra Large 16"", Specialty Pizza, Pizza","Pizza",410,17,9,0,45,770,NA,46,18,2,2,250,10,5,0,27,470,NA,28,11,1,1
"Spinach & Feta on Hand Tossed Crust, Large","Spinach & Feta on Hand Tossed Crust w/ Cheese, Feta Cheese, Parmesan Asiago, Provolone Cheese, Onions, Spinach, Alfredo Sauce & Garlic Seasoned Crust, Large 14"", Specialty Pizza, Pizza","Pizza",320,14,7,0,35,610,NA,35,14,2,2,252,11,6,0,28,480,NA,28,11,2,2
"Spinach & Feta on Hand Tossed Crust, Medium","Spinach & Feta on Hand Tossed Crust w/ Cheese, Feta Cheese, Parmesan Asiago, Provolone Cheese, Onions, Spinach, Alfredo Sauce & Garlic Seasoned Crust, Medium 12"", Specialty Pizza, Pizza","Pizza",240,10,5,0,25,450,NA,26,10,1,1,258,11,5,0,27,484,NA,28,11,1,1
"Spinach & Feta on Hand Tossed Crust, Small","Spinach & Feta on Hand Tossed Crust, Small 10"", Specialty Pizza, Pizza","Pizza",220,9,4,0,25,410,NA,24,10,NA,1,256,10,5,0,29,477,NA,28,12,NA,1
"Ultimate Pepperoni on Hand Tossed Crust, Extra Large","Ultimate Pepperoni on Hand Tossed Crust, Extra Large 16"", Specialty Pizza, Pizza","Pizza",480,22,10,0,55,1180,NA,47,21,4,2,262,12,5,0,30,645,NA,26,11,2,1
"Ultimate Pepperoni on Hand Tossed Crust, Large","Ultimate Pepperoni on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Cheese, Extra Pepperoni, Parmesan Asiago, Provolone Cheese & Garlic Seasoned Crust, Large 14"", Specialty Pizza, Pizza","Pizza",370,17,8,0,45,890,NA,36,16,3,2,266,12,6,0,32,640,NA,26,12,2,1
"Ultimate Pepperoni on Hand Tossed Crust, Medium","Ultimate Pepperoni on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Cheese, Extra Pepperoni, Parmesan Asiago, Provolone Cheese & Garlic Seasoned Crust, Medium 12"", Specialty Pizza, Pizza","Pizza",270,13,6,0,30,660,NA,26,12,2,1,265,13,6,0,29,647,NA,25,12,2,1
"Ultimate Pepperoni on Hand Tossed Crust, Small","Ultimate Pepperoni on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Cheese, Extra Pepperoni, Parmesan Asiago, Provolone Cheese & Garlic Seasoned Crust, Small 10"", Specialty Pizza, Pizza","Pizza",250,12,5,0,30,610,NA,25,11,2,1,263,13,5,0,32,642,NA,26,12,2,1
"Wisconsin 6 Cheese on Hand Tossed Crust, Extra Large","Wisconsin 6 Cheese on Hand Tossed Crust, Extra Large 16"", Specialty Pizza, Pizza","Pizza",440,18,9,0,50,910,NA,48,20,4,2,247,10,5,0,28,511,NA,27,11,2,1
"Wisconsin 6 Cheese on Hand Tossed Crust, Large","Wisconsin 6 Cheese on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Cheese, Cheddar Cheese, Feta Cheese, Parmesan Asiago, Provolone Cheese & Garlic Seasoned Crust, Large 14"", Specialty Pizza, Pizza","Pizza",340,14,7,0,35,690,NA,36,16,3,2,252,10,5,0,26,511,NA,27,12,2,1
"Wisconsin 6 Cheese on Hand Tossed Crust, Medium","Wisconsin 6 Cheese on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Cheese, Cheddar Cheese, Feta Cheese, Parmesan Asiago, Provolone Cheese & Garlic Seasoned Crust, Medium 12"", Specialty Pizza, Pizza","Pizza",250,11,5,0,30,520,NA,27,12,2,1,250,11,5,0,30,520,NA,27,12,2,1
"Wisconsin 6 Cheese on Hand Tossed Crust, Small","Wisconsin 6 Cheese on Hand Tossed Crust w/ Robust Inspired Tomato Sauce, Cheese, Cheddar Cheese, Feta Cheese, Parmesan Asiago, Provolone Cheese & Garlic Seasoned Crust, Small 10"", Specialty Pizza, Pizza","Pizza",220,9,4,0,20,450,NA,25,10,2,1,244,10,4,0,22,500,NA,28,11,2,1
"Pizza Bagel, Pepperoni","Pizza Bagel, Pepperoni, Hot Sandwiches","Pizza",530,23,12,0,55,1340,NA,58,27,7,2,262,11,6,0,27,663,NA,29,13,3,1
"Pizza Bagel, Cheese","Pizza Bagel w/ Cheese & Pickle, Hot Sandwiches, Vegetarian; Choice of Adding: Chips, Potato Salad or Fruit","Pizza",440,14,8,0,40,1000,NA,58,23,7,2,240,8,4,0,22,546,NA,32,13,4,1
"Roasted Veggie Flatbread","Roasted Veggie Flatbread, Flatbreads & Wraps, Available at License Locations Only","Pizza",570,28,13,0.5,50,1090,NA,55,25,7,4,191,9,4,0,17,366,NA,18,8,2,1
"Hamburger","Hamburger, Burgers","Burgers",700,43,19.5,2,125,430,NA,39,39,8,2,264,16,7,1,47,162,NA,15,15,3,1
"Cheeseburger","Cheeseburger, Burgers","Burgers",840,55,26.5,2,165,1050,NA,40,47,9,2,277,18,9,1,54,347,NA,13,16,3,1
"Bacon Burger","Bacon Burger, Burgers","Burgers",780,50,22.5,2,140,690,NA,39,43,8,2,280,18,8,1,50,247,NA,14,15,3,1
"Bacon Cheeseburger","Bacon Cheeseburger, Burgers","Burgers",920,62,29.5,2,180,1310,NA,40,51,9,2,290,20,9,1,57,413,NA,13,16,3,1
"Little Hamburger","Little Hamburger, Little Burgers","Burgers",480,26,11.5,1,65,380,NA,39,23,8,2,281,15,7,1,38,222,NA,23,13,5,1
"Little Cheeseburger","Little Cheeseburger, Little Burgers","Burgers",550,32,15,1,85,690,NA,39.5,27,8.5,2,289,17,8,1,45,363,NA,21,14,4,1
"Little Bacon Burger","Little Bacon Burger","Burgers",560,33,14.5,1,80,640,NA,39,27,8,2,303,18,8,1,43,346,NA,21,15,4,1
"Little Bacon Cheeseburger","Little Bacon Cheeseburger","Burgers",630,39,18,1,100,950,NA,39.5,31,8.5,2,309,19,9,0,49,466,NA,19,15,4,1
"Patty Melt","Patty Melt, Sandwich, Hot Buffet","Burgers",380,22,8,3,55,1170,NA,25,18,8,1,284,16,6,2,41,873,NA,19,13,6,1
"Cheese Pizza","Cheese Pizza, Bakery & Desserts","Pizza",180,6,3,0,15,420,NA,21,8,1,1,228,8,4,0,19,532,NA,27,10,1,1
"Pepperoni Pizza","Pepperoni Pizza, Bakery & Desserts","Pizza",210,10,4,0,25,570,NA,21,10,1,1,244,12,5,0,29,663,NA,24,12,1,1
"Breakfast Pizza","Breakfast Pizza, Breakfast Buffet","Pizza",370,24,11,0,135,720,NA,21,19,1,1,282,18,8,0,103,550,NA,16,15,1,1
"Sausage Pizza","Sausage Pizza, Bakery & Desserts","Pizza",240,12,5,0,25,560,NA,22,10,1,1,258,13,5,0,27,602,NA,24,11,1,1
"1/3 lb Original Thickburger","1/3 lb Original Thickburger on a Bun w/ 1/3 lb Beef Patty, American Cheese, Tomato, Lettuce, Red Onion, Mayonnaise, Ketchup, Mustard & Dill Pickles, Charbroiled Burgers, Thickburgers & Sandwiches","Burgers",820,53,16,NA,120,1660,NA,56,32,15,10,229,15,4,NA,34,464,NA,16,9,4,3
"1/3 lb Cheeseburger","1/3 lb Cheeseburger on a Bun w/ 1/3 lb Beef Patty, American Cheese, Onion, Ketchup, Mustard & Dill Pickle, Charbroiled Burgers, Thickburgers & Sandwiches","Burgers",640,35,13,NA,105,1630,NA,55,31,15,10,250,14,5,NA,41,637,NA,21,12,6,4
"1/3 lb Mushroom & Swiss Thickburger","1/3 lb Mushroom & Swiss Thickburger on a Bun w/ 1/3 lb Beef Patty, Melted Swiss Cheese & Mushrooms, Charbroiled Burgers","Burgers",690,40,15,NA,115,1630,NA,52,34,11,10,258,15,6,NA,43,610,NA,19,13,4,4
"1/3 lb Bacon Cheese Thickburger","1/3 lb Bacon Cheese Thickburger on a Bun w/ 1/3 lb Beef Patty, Bacon, American Cheese, Tomato, Lettuce, Onion & Mayonnaise, Charbroiled Burgers","Burgers",900,59,18,NA,140,1680,NA,54,40,13,10,259,17,5,NA,40,483,NA,16,11,4,3
"1/3 lb Low Carb Thickburger","1/3 lb Low Carb Thickburger in a Whole Leaf Lettuce Wrap w/ 1/3 lb Beef Patty, Cheese, Tomato, Red Onion, Ketchup, Mustard, Mayo, Lettuce & Dill Pickles, Charbroiled Burgers, Gluten Sensitive Menu, Low Carb It","Burgers",470,36,13,NA,90,1170,NA,9,22,5,1,170,13,5,NA,32,422,NA,3,8,2,0
"2/3 lb Double Thickburger","2/3 lb Double Thickburger on a Fresh Baked Bun w/ 2 1/3 lb Beef Patty, Tomato, Red Onion, Dill Pickles, Lettuce, Mayonnaise, Mustard & Ketchup, Thickburgers & Sandwiches","Burgers",1140,79,27,NA,220,2460,NA,58,56,17,18,244,17,6,NA,47,527,NA,12,12,4,4
"2/3 lb Monster Thickburger","2/3 lb Monster Thickburger on a Bun w/ 2 1/3 lb Beef Patties, 4 Strips of Bacon, 3 Slices of American Cheese & Mayonnaise, Charbroiled Burgers","Burgers",1340,96,34,NA,275,3130,NA,52,74,14,17,336,24,9,NA,69,784,NA,13,19,4,4
"Cheeseburger, Small","Cheeseburger, Thickburgers & Sandwiches, Small","Burgers",330,15,4,NA,40,860,NA,32,16,7,1,252,11,3,NA,31,656,NA,24,12,5,1
"Hamburger, Small","Hamburger, Thickburgers & Sandwiches, Small","Burgers",280,12,3.5,NA,30,630,NA,32,14,7,1,237,10,3,NA,25,534,NA,27,12,6,1
"Cheeseburger Meal, Kids","Cheeseburger Meal, Kids, Thickburgers & Sandwiches","Burgers",550,26,6,NA,40,1300,NA,61,18,7,4,266,13,3,NA,19,628,NA,29,9,3,2
"Hamburger Meal, Kids","Hamburger Meal, Kids, Thickburgers & Sandwiches","Burgers",500,22,5,NA,30,1080,NA,61,16,7,4,256,11,3,NA,15,554,NA,31,8,4,2
"1/4 lb Little Thickburger","1/4 lb Little Thickburger on a Sesame Seed Bun w/ 1/4 lb Beef Patty, American Cheese, Tomato, Lettuce, Red Onion, Mayonnaise, Ketchup, Mustard & Dill Pickles, Charbroiled Burgers","Burgers",600,42,13,NA,90,1250,NA,33,23,8,2,261,18,6,NA,39,543,NA,14,10,3,1
"Double Cheeseburger","Double Cheeseburger on a Seeded Bun w/ 2 Beef Patties, American Cheese, Dill Pickles, Diced White Onions, Ketchup & Mustard, Charbroiled Burgers, Thickburgers & Sandwiches","Burgers",420,22,5,NA,70,890,NA,33,25,7,2,253,13,3,NA,42,536,NA,20,15,4,1
"1/4 lb Little Thick Cheeseburger","1/4 lb Little Thick Cheeseburger on a Sesame Seed Bun w/ 1/4 lb Beef Patty, American Cheese, Ketchup, Mustard, White Onions & Dill Pickles, Charbroiled Burgers, Thickburgers & Sandwiches","Burgers",450,25,10,NA,75,1210,NA,33,23,8,2,263,15,6,NA,44,708,NA,19,13,5,1
"1/4 lb Low Carb Little Thickburger, Trim It","1/4 lb Low Carb Little Thickburger in a Lettuce Wrap w/ Beef Patty, Dill Pickles, Lettuce, Onions, Tomato, Ketchup & Mustard, Trim It, Better for You Options","Burgers",220,15,6,NA,55,590,NA,6,15,4,3,121,8,3,NA,30,324,NA,3,8,2,2
"Thickburger, Veg It","Thickburger w/ Cheese, Dill Pickles, Lettuce, Onion, Tomato, Ketchup, Mayonnaise & Mustard w/out Hamburger Patty, Veg It, Better For You Options","Burgers",550,33,8,NA,35,1190,NA,56,11,14,3,216,13,3,NA,14,467,NA,22,4,5,1
"1/2 lb Original Thickburger","1/2 lb Original Thickburger, Thickburgers & Sandwiches","Burgers",1030,70,24,NA,175,2240,NA,57,45,16,5,243,17,6,NA,41,528,NA,13,11,4,1
"1/2 lb Cheeseburger","1/2 lb Cheeseburger, Thickburgers & Sandwiches","Burgers",850,52,21,NA,160,2220,NA,56,45,16,4,262,16,6,NA,49,685,NA,17,14,5,1
"1/2 lb Mushroom & Swiss Thickburger","1/2 lb Mushroom & Swiss Thickburger, Thickburgers & Sandwiches","Burgers",890,56,23,NA,170,2170,NA,53,47,12,4,267,17,7,NA,51,652,NA,16,14,4,1
"1/2 lb Bacon Cheese Thickburger","1/2 lb Bacon Cheese Thickburger, Thickburgers & Sandwiches","Burgers",1110,76,26,NA,195,2270,NA,55,53,15,5,268,18,6,NA,47,548,NA,13,13,4,1
"The Single All Natural Burger","The Single All Natural Burger on a Bun w/ Charbroiled Beef Patty, American Cheese, Pickles, Lettuce, Onions, Tomatoes, Ketchup, Mustard & Mayonnaise, Charbroiled Burgers","Burgers",790,51,16,NA,80,1210,NA,56,28,14,3,242,16,5,NA,24,370,NA,17,9,4,1
"1/2 lb Frisco Thickburger","1/2 lb Frisco Thickburger, Thickburgers & Sandwiches","Burgers",1060,75,27,NA,200,2690,NA,47,56,8,5,290,20,7,NA,55,735,NA,13,15,2,1
"1/3 lb Frisco Thickburger","1/3 lb Frisco Thickburger on Sourdough Toast w/ 1/3 lb Beef Patty, Bacon, Swiss Cheese & Tomato Slices, Charbroiled Burgers","Burgers",860,59,20,NA,150,2150,NA,46,43,7,10,287,20,7,NA,50,717,NA,15,14,2,3
"All Natural Budweiser Beer Cheese Bacon Burger Single","All Natural Budweiser Beer Cheese Bacon Burger Single on a Toasted Premium Bun w/ Charbroiled Beef Patty, Budweiser Beer Cheese Sauce, Bacon Strips, Grilled Onions, Lettuce & Tomato, Charbroiled Burgers","Burgers",710,38,16,NA,85,1430,NA,51,40,11,3,217,12,5,NA,26,437,NA,16,12,3,1
"All Natural Budweiser Beer Cheese Bacon Burger Double","All Natural Budweiser Beer Cheese Bacon Burger Double on a Toasted Premium Bun w/ 2 Charbroiled Burgers, Budweiser Beer Cheese Sauce, Bacon Strips, Grilled Onions, Lettuce & Tomato, Charbroiled Burgers","Burgers",940,55,24,NA,155,1800,NA,52,60,12,3,233,14,6,NA,38,447,NA,13,15,3,1
"1/3 lb Budweiser Beer Cheese Bacon Thickburger","1/3 lb Budweiser Beer Cheese Bacon Thickburger on a Toasted Premium Bun w/ Charbroiled Burger Patty, Budweiser Beer Cheese Sauce, Bacon Strips, Grilled Onions, Lettuce & Tomato, Charbroiled Burgers","Burgers",790,46,2046,NA,115,1820,NA,51,43,12,2,221,13,572,NA,32,508,NA,14,12,3,1
"Hardees Classic Double Cheeseburger","Hardees Classic Double Cheeseburger on a Seeded Bun w/ Double Meat, Double Cheese, Grilled Onions, Thousand Island, Lettuce & Tomato, Charbroiled Burgers, Thickburgers & Sandwiches","Burgers",610,40,14,NA,90,1050,NA,38,28,10,2,224,15,5,NA,33,386,NA,14,10,4,1
"1/4 lb Frisco Thickburger","1/4 lb Frisco Thickburger on Sourdough Toast w/ Charbroiled Beef Patty, Bacon, Swiss Cheese & Tomato Slices, Charbroiled Burgers","Burgers",810,55,18,NA,130,2020,NA,46,37,7,3,292,20,6,NA,47,729,NA,17,13,3,1
"1/4 lb Bacon 3 Way Thickburger","1/4 lb Bacon 3 Way Thickburger on a Bun w/ Beef Patty, Applewood Smoked Bacon Strips, Bacon Crumbles, Bacon Jam, Lettuce, Tomato & Cheese, Charbroiled Burgers","Burgers",820,46,16,NA,125,2140,NA,65,41,22,4,242,14,5,NA,37,631,NA,19,12,6,1
"1/3 lb Bacon 3 Way Thickburger","1/3 lb Bacon 3 Way Thickburger on a Bun w/ Beef Patty, Applewood Smoked Bacon Strips, Bacon Crumbles, Bacon Jam, Lettuce, Tomato & Cheese, Charbroiled Burgers","Burgers",880,50,18,NA,145,2280,NA,65,46,22,10,250,14,5,NA,41,648,NA,18,13,6,3
"Hamburger w/ Onion","Hamburger on Freshly Baked Bun w/ Onion, 100% Beef Patty, Lettuce, Tomato & Spread, Burgers","Burgers",390,19,5,0,40,650,NA,39,16,10,3,160,8,2,0,16,267,NA,16,7,4,1
"Protein Style Hamburger w/ Onion","Protein Style Hamburger w/ Onion, Lettuce Wrap & 100% Beef Patty w/out Bun","Burgers",240,17,4,0,40,370,NA,11,13,7,3,87,6,1,0,15,135,NA,4,5,3,1
"Cheeseburger w/ Onion","Cheeseburger w/ Onion, 100% Pure Beef Patty, Lettuce, 1 Slice of American Cheese, Tomato & Spread, Burgers","Burgers",480,27,10,0.5,60,1000,NA,39,22,10,3,179,10,4,0,22,373,NA,15,8,4,1
"Protein Style Cheeseburger w/ Onion","Protein Style Cheeseburger w/ Onion, Lettuce Wrap, 100% Beef Patty, Lettuce, Tomato, Spread & 1 Slice of American Cheese w/out Bun","Burgers",330,25,9,0,60,720,NA,11,18,7,3,110,8,3,0,20,240,NA,4,6,2,1
"Double Double Burger w/ Onion","Double Double Burger w/ Onion, 2 100% Pure Beef Patties, 2 Slices of American Cheese, Lettuce, Tomato & Spread, Burgers","Burgers",670,41,18,1,120,1440,NA,39,37,10,3,203,12,5,0,36,436,NA,12,11,3,1
"Protein Style Double Double Burger w/ Onion","Protein Style Double Double Burger w/ Onion, Lettuce Wrap, 2 100% Beef Patties, Lettuce, Tomato, 2 Slices of American Cheese & Spread w/out Bun","Burgers",520,39,17,1,120,1160,NA,11,33,7,3,144,11,5,0,33,320,NA,3,9,2,1
"Cheeseburger w/ Onion, Mustard & Ketchup","Cheeseburger on Bun w/ Onion, 100% Beef Patty, Lettuce, 1 Slice of American Cheese, Tomato, Mustard & Ketchup, Burgers","Burgers",400,18,9,0.5,60,1080,NA,41,22,10,3,149,7,3,0,22,403,NA,15,8,4,1
"Double Double Burger w/ Onion, Mustard & Ketchup","Double Double Burger on Bun w/ Onion, 2 100% Beef Patties, Lettuce, 2 Slices of American Cheese, Tomato, Mustard & Ketchup, Burgers","Burgers",590,32,17,1,115,1520,NA,41,37,10,3,179,10,5,0,35,461,NA,12,11,3,1
"Hamburger w/ Onion, Mustard & Ketchup","Hamburger on Bun w/ Onion, 100% Beef Patty, Lettuce, Tomato, Mustard & Ketchup, Burgers","Burgers",310,10,4,0,35,730,NA,41,16,10,3,128,4,2,0,14,300,NA,17,7,4,1
"Hamburger","Hamburger, Burgers & More, Kids & Adults Menu","Burgers",340,18,5,1,25,570,180,32,14,5,1,306,16,5,1,23,514,162,29,13,5,1
"Jumbo Jack","Jumbo Jack on a Buttery Bun w/ 100% Beef Patty, Lettuce, Tomato, Pickles, Onions & Mayonnaise, Burgers & More, Value Menu","Burgers",520,33,10,1.5,60,580,370,32,23,6,2,233,15,4,1,27,260,166,14,10,3,1
"Cheeseburger","Cheeseburger, Burgers & More, Kids & Adults Menu","Burgers",380,21,8,1,35,780,190,32,16,5,1,309,17,7,1,28,634,154,26,13,4,1
