"year","gender","age","height_cm","waist_size_cm","inseam_cm","test_group","salary_self_report_in_k","months_active","num_purchases","amount_spent_annual"
2022,"woman",46,159,96,71,0,95.68,19,12,961.21
2020,"nonbinary",32,157,93,69,0,53.45,2,71,182
2019,"woman",46,168,89,72,0,64.04,14,24,752.91
2019,"woman",25,180,88,76,0,58.97,8,39,555.26
2022,"nonbinary",34,175,101,75,0,84.89,18,21,832.18
2020,"woman",28,159,86,68,0,84.79,24,60,330.16
2021,"man",46,169,103,74,0,64.13,18,60,919.07
2020,"woman",26,164,91,74,0,50.21,8,26,671.58
2019,"woman",36,186,86,74,0,55.47,0,73,205.11
2022,"woman",26,172,97,73,0,58.41,21,43,726.46
2022,"woman",41,177,73,75,0,76.31,0,13,571.26
2019,"other",30,168,83,75,0,71.49,3,45,570.8
2022,"woman",42,170,104,75,0,76.34,2,97,911.03
2022,"man",21,173,94,71,0,91.67,2,25,760.22
2020,"woman",36,177,98,72,0,76.9,2,71,690.65
2022,"nonbinary",26,166,89,75,0,63.11,0,41,619.65
2021,"nonbinary",43,164,103,74,0,69.15,1,65,591.25
2020,"woman",28,167,88,73,0,47.88,9,83,691.3
2021,"woman",46,171,100,75,0,76.02,1,47,819.21
2022,"man",21,168,104,73,0,76.59,3,44,854.92
2019,"man",27,164,90,77,0,48.39,6,35,616.32
2022,"nonbinary",46,172,96,75,0,85.3,4,20,907.68
2019,"woman",43,164,100,73,0,60.02,9,46,872.08
2019,"woman",24,174,98,76,0,56.87,18,96,653.79
2022,"woman",34,166,95,76,0,76.67,5,73,914.2
2019,"man",19,170,90,75,0,42.19,7,38,690.62
2019,"woman",41,166,88,77,0,50.04,15,1,636.53
2021,"woman",33,167,88,74,0,52.66,13,46,767.56
2020,"woman",21,156,104,76,0,67.54,2,14,436.36
2021,"woman",25,174,96,73,0,61.18,11,1,779.82
2022,"woman",36,166,97,73,0,75.71,13,69,979.28
2019,"man",27,166,90,76,0,59.72,9,87,718.12
2020,"woman",37,167,88,72,0,59.73,21,23,593.02
2020,"woman",23,170,95,73,0,60.92,22,97,676.96
2022,"woman",19,169,97,74,0,66.9,20,64,956.49
2022,"woman",35,160,95,77,0,74.17,12,97,848.06
2022,"woman",31,168,92,79,0,82.44,11,62,736.32
2022,"man",38,174,105,78,0,78.75,12,21,817.02
2021,"woman",24,170,107,73,0,83.6,13,8,954.19
2020,"woman",45,167,91,72,0,57.27,18,9,661.34
2019,"other",35,172,89,73,0,54.63,17,21,624.31
2021,"woman",33,171,99,74,0,71.92,17,66,921.72
2022,"woman",25,163,107,75,0,78.56,16,59,928.42
2020,"woman",23,158,100,74,0,53.62,22,81,476.97
2022,"man",30,165,86,72,0,90.76,2,99,877.1
2019,"woman",45,174,108,74,0,52.33,8,31,792.42
2020,"woman",21,157,98,76,0,80.97,12,68,786.97
2019,"woman",41,163,106,71,0,64.68,4,42,547.44
2022,"woman",35,165,99,74,0,73.17,3,24,762.12
2020,"woman",40,176,88,75,0,69.09,16,49,786.89
2020,"man",19,170,84,77,0,69.81,9,91,823.86
2019,"woman",32,178,93,73,0,50.98,2,48,443.75
2019,"woman",37,160,91,77,0,60.9,11,64,677.61
2022,"man",44,170,99,74,0,85.11,20,97,974.71
2020,"man",19,166,102,76,0,64.8,16,48,800.03
2022,"woman",27,177,88,74,0,80.94,19,41,909.01
2021,"man",38,159,100,76,0,51.42,4,0,520.15
2019,"man",42,175,92,75,0,66.98,12,12,742.45
2022,"man",25,158,93,75,0,70.28,23,64,782.9
2021,"woman",46,163,88,74,0,61.77,17,30,841.85
2022,"woman",33,163,90,72,0,70.33,22,15,629.32
2021,"woman",40,163,79,77,0,68.02,19,70,797.28
2021,"woman",42,169,93,75,0,61.75,3,99,742.29
2019,"woman",25,160,95,73,0,67.75,24,39,589.65
2019,"nonbinary",30,174,83,77,0,46.56,12,83,409.07
2022,"man",44,174,100,73,0,78.6,2,83,874.95
2021,"other",29,172,86,73,0,84.11,2,17,749.81
2021,"man",18,174,80,74,0,56.48,16,15,664.21
2019,"woman",24,170,91,74,0,55.66,17,26,765.81
2019,"woman",40,168,112,74,0,71.33,10,7,799.7
2019,"nonbinary",32,162,94,73,0,62.49,19,7,712.44
2019,"woman",42,166,100,76,0,68.68,13,11,676.42
2020,"nonbinary",26,168,84,71,0,61.64,1,89,488.47
2021,"woman",37,159,88,74,0,48,6,91,725.46
2019,"man",29,168,103,75,0,62.28,23,32,550.7
2019,"woman",42,174,93,75,0,58.6,14,39,844.72
2022,"woman",26,165,100,73,0,80.04,5,38,897.24
2022,"woman",42,159,107,77,0,74.02,10,40,934.25
2022,"woman",35,168,88,72,0,73.76,20,66,849.13
2019,"woman",44,154,89,76,0,79.58,24,28,516.49
2020,"woman",42,179,88,71,0,54.99,21,12,522.5
2022,"nonbinary",29,175,92,75,0,58.78,5,36,602.33
2021,"man",22,174,94,75,0,51.48,13,2,600.76
2022,"man",22,162,96,71,0,60.42,0,65,644.41
2020,"woman",34,169,100,72,0,79.07,18,25,776.82
2019,"woman",34,172,93,73,0,52.36,18,52,541.67
2021,"woman",41,161,85,72,0,91.01,0,91,807.92
2019,"woman",34,160,91,76,0,54.06,5,84,526.85
2019,"woman",26,170,99,71,0,47.44,5,62,540.38
2019,"man",18,183,89,72,0,64.12,7,10,472.03
2019,"woman",31,167,93,70,0,51.93,21,48,409.3
2022,"woman",42,174,91,74,0,72.8,15,51,1065.57
2020,"man",34,168,97,74,0,88.62,6,76,871.61
2020,"woman",35,160,95,72,0,66.41,18,43,666.37
2022,"man",37,169,87,72,0,72.87,16,8,753.77
2020,"woman",31,165,94,73,0,78.44,12,85,841.99
2020,"woman",24,176,91,76,0,70.9,18,82,761.8
2021,"other",38,166,97,70,0,70.22,23,75,600.54
2020,"man",32,156,89,69,0,48.18,22,18,156.78
2020,"man",43,159,98,74,0,58.35,14,71,685.43
2021,"woman",43,173,94,78,0,51.58,5,39,675.75
2022,"man",43,162,86,73,0,81.46,5,49,922.63
2019,"woman",30,174,94,73,0,57.09,21,28,532.65
2022,"woman",39,153,90,73,0,69.08,23,77,581.68
2020,"woman",36,160,105,72,0,72.82,3,94,605.47
2020,"nonbinary",23,157,93,75,0,71.51,11,79,741.86
2020,"man",31,161,91,74,0,78.58,15,72,713.43
2020,"woman",30,165,107,75,0,78.54,1,86,575.73
2022,"woman",27,173,89,73,0,80.04,13,88,963.59
2022,"man",40,169,84,74,0,78.52,24,27,740.1
2021,"man",32,168,87,74,0,69.71,3,94,690.07
2020,"woman",26,165,90,74,0,78.38,9,46,932.49
2019,"woman",45,164,95,73,0,86.57,14,63,836.01
2020,"other",25,172,90,72,0,61.19,19,50,683.9
2020,"woman",41,162,80,72,0,65.43,7,6,677.65
2020,"nonbinary",44,171,90,73,0,47.57,8,100,822.54
2020,"man",44,178,76,75,0,76.44,17,42,737.79
2020,"woman",33,163,83,74,0,51.5,14,32,667.79
2019,"other",31,158,97,73,0,53.41,5,40,435.52
2020,"other",37,163,97,74,0,66.98,22,46,626.3
2020,"woman",22,153,89,72,0,69.71,18,39,590.5
2020,"nonbinary",34,174,98,74,0,61.06,14,33,669.14
2021,"woman",22,161,98,74,0,74.38,3,66,741.37
2019,"woman",29,162,100,73,0,72.53,13,83,793.17
2021,"woman",20,168,96,74,0,69.38,14,92,1030.52
2019,"woman",19,163,91,74,0,72.67,5,10,722.08
2020,"woman",36,155,93,76,0,77.9,19,52,625.7
2020,"woman",29,165,90,75,0,88.51,2,45,732.75
2021,"man",24,172,84,71,0,54.06,3,52,591.01
2020,"woman",34,177,98,74,0,43.69,16,74,613.88
2020,"woman",19,159,96,75,0,41.59,0,58,435.14
2022,"woman",34,159,92,77,0,86.35,2,24,766.28
2020,"woman",40,162,92,75,0,59.17,4,61,806.28
2019,"woman",42,172,101,73,0,55.57,21,92,634.09
2019,"woman",36,177,89,79,0,66.29,19,41,500.79
2022,"woman",27,173,97,76,0,85.31,1,67,877.4
2019,"woman",19,156,88,70,0,62.9,11,96,764.38
2020,"man",27,167,106,77,0,57.85,3,60,529.51
2019,"man",34,170,83,75,0,57.5,2,47,634.56
2021,"man",22,168,85,74,0,56.69,13,54,924.79
2019,"woman",20,170,101,74,0,57.56,14,85,824.4
2019,"woman",38,162,106,71,0,53.09,5,12,382.72
2019,"woman",26,178,103,76,0,49.61,21,87,381.58
2020,"woman",29,170,97,71,0,65.68,6,34,639.55
2022,"woman",27,158,100,77,0,79.55,3,83,781.14
2019,"woman",25,164,93,73,0,72.03,1,90,656.58
2021,"woman",28,163,89,73,0,75.41,19,82,776.45
2020,"man",32,172,98,73,0,41.23,15,38,535.67
2021,"woman",32,172,87,70,0,66.43,17,29,713.98
2019,"woman",40,162,85,75,0,52.55,13,17,658.75
2020,"woman",19,163,87,74,0,56.78,13,84,877.14
2020,"woman",39,159,83,74,0,60.85,8,13,811.86
2021,"man",32,168,96,70,0,58.86,22,12,580.66
2020,"woman",29,174,101,74,0,69.83,17,32,777.82
2020,"woman",31,175,86,73,0,50.72,1,21,470.12
2021,"woman",29,162,90,75,0,67.49,3,18,743.94
2022,"woman",38,176,105,70,0,64.61,21,50,590.46
2021,"woman",19,160,100,71,0,68.24,14,57,809.11
2021,"other",43,177,82,72,0,73.87,21,13,677.55
2019,"woman",26,176,95,NA,0,61.77,15,14,671.69
2021,"woman",24,173,91,73,0,84.79,11,7,874.97
2022,"man",21,175,89,75,0,79.94,2,94,825.39
2020,"nonbinary",47,161,97,75,0,59.78,22,91,596.08
2022,"woman",26,157,101,77,0,75.43,12,28,787.86
2021,"man",29,173,106,77,0,75,9,41,712.46
2019,"woman",29,175,98,71,0,67.31,20,47,574.84
2020,"man",27,175,105,77,0,82.09,19,59,776.46
2019,"woman",22,174,88,76,0,66.99,22,20,610.36
2019,"man",45,172,80,72,0,53.97,22,47,576.09
2021,"woman",29,166,99,72,0,75.92,15,70,887.35
2020,"other",35,175,104,73,0,63.86,22,18,578.52
2019,"woman",40,175,99,74,0,46.76,10,18,632.88
2022,"woman",43,166,92,75,0,83.74,10,6,993.73
2022,"woman",39,166,94,76,0,88.97,0,68,907.61
2022,"other",19,169,91,76,0,57.13,4,72,772.23
2022,"woman",31,170,99,72,0,65.22,20,99,785.86
2022,"man",23,158,77,76,0,48.29,9,97,748.55
2020,"woman",30,170,106,70,0,76.33,18,42,632.92
2021,"woman",47,173,84,74,0,71.99,13,97,1074.82
2022,"other",47,170,104,77,0,89.93,13,32,1014.03
2020,"man",44,169,97,74,0,78.64,4,8,777.58
2019,"woman",38,173,89,77,0,66.34,8,24,638.28
2019,"woman",24,158,103,74,0,50.69,11,79,664.1
2019,"man",31,179,86,77,0,53.56,20,45,449.96
2020,"man",26,174,86,74,0,58.92,20,5,621.89
2020,"woman",19,166,98,72,0,59.78,2,27,686.74
2020,"man",40,171,100,73,0,70.92,12,35,826.11
2019,"woman",45,167,87,73,0,53.69,17,29,692.46
2020,"woman",21,166,112,73,0,67.28,4,33,844.14
2021,"woman",19,166,102,73,0,73.65,16,26,1045.82
2019,"woman",41,175,90,77,0,57.1,8,15,523.03
2021,"man",42,177,90,72,0,65.5,3,40,522.62
2021,"woman",30,174,90,72,0,83.87,1,99,859.93
2020,"woman",34,168,97,73,0,64.58,14,49,732.4
2021,"woman",27,169,96,73,0,87.02,8,5,993.88
2019,"man",45,171,97,77,0,67.16,2,34,561.48
2019,"woman",24,168,86,77,0,70.12,23,58,503.44
2020,"woman",45,167,90,76,0,73.5,18,48,829.22
2019,"woman",31,171,97,74,0,64.08,9,0,671.04
2022,"woman",43,171,87,70,0,88.73,11,24,989.64
2020,"woman",30,172,90,73,0,49.55,0,47,512.64
2020,"man",26,170,99,73,0,68.86,15,4,687.26
2020,"man",18,163,107,73,0,70.9,15,58,900.8
2020,"woman",37,164,92,72,0,77.37,14,43,954.59
2021,"woman",22,162,100,72,0,74.22,22,29,714.04
2019,"woman",25,172,96,74,0,38.77,9,64,635.92
2022,"woman",26,157,82,75,0,76.92,9,21,950.28
2019,"woman",30,165,100,71,0,58.56,12,98,686.03
2019,"woman",24,169,96,72,0,70.99,7,47,781.68
2020,"nonbinary",44,167,97,71,0,82.24,19,93,929.95
2022,"man",45,168,82,75,0,75.58,3,76,909.79
2022,"woman",NA,167,94,NA,0,69.41,3,62,872.3
2022,"nonbinary",37,165,97,72,0,69.58,9,31,723.48
2021,"woman",45,154,93,74,0,71.54,18,56,753.2
2019,"woman",25,158,99,73,0,70.77,3,99,602.33
2021,"woman",28,168,101,76,0,74.57,22,34,689.44
2021,"woman",22,164,92,79,0,73.74,20,60,624.41
2021,"nonbinary",28,172,93,76,0,57.77,22,72,640.49
2021,"woman",20,172,89,76,0,66.23,17,98,904.66
2022,"man",41,176,103,74,0,62.81,15,13,763.52
2022,"woman",38,169,94,76,0,74.36,23,85,732.51
2020,"woman",26,158,95,70,0,71.93,14,14,597.47
2020,"woman",28,173,105,72,0,62.93,10,53,718.04
2019,"woman",24,164,90,78,0,60.3,22,25,397.44
2021,"woman",31,176,102,73,0,80.46,8,23,840.06
2022,"woman",22,165,84,75,0,76.63,12,32,999.7
2021,"woman",28,164,99,76,0,67.17,9,87,815.16
2022,"woman",25,166,98,75,0,72.21,2,83,916.05
2019,"woman",31,172,85,75,0,67.09,21,87,705.6
2019,"woman",22,170,90,71,0,47.23,13,69,597.18
2020,"man",32,169,87,71,0,69.32,15,82,665.18
2022,"woman",45,167,96,74,0,75.2,12,23,1050.1
2021,"woman",37,174,88,75,0,57.22,19,74,670.66
2019,"man",32,166,97,74,0,60.11,10,66,712.76
2021,"woman",25,161,104,75,0,76.23,3,72,816.69
2022,"woman",27,169,83,77,0,65.5,15,42,849.84
2021,"woman",22,161,97,75,0,71.19,5,95,786.33
2022,"other",20,167,83,77,0,79.29,20,66,837.41
2022,"man",43,158,95,73,0,73.96,11,31,878.08
2019,"woman",39,169,89,73,0,58.39,12,9,652
2020,"woman",35,168,89,74,0,66.44,18,32,828.3
2022,"woman",33,157,68,76,0,93.44,8,15,884.18
2019,"woman",36,168,81,73,0,71.96,5,33,706.6
2020,"woman",18,163,91,73,0,72.09,20,42,859.47
2020,"man",33,174,88,73,0,45.63,16,65,678.57
2022,"man",46,170,97,75,0,58.2,10,38,916.75
2020,"nonbinary",41,177,96,75,0,61.42,21,63,617.43
2021,"nonbinary",35,166,92,75,0,80.09,8,26,835.72
2020,"woman",36,162,99,75,0,74.73,7,92,847.63
2020,"woman",44,171,88,72,0,67.08,14,19,807.98
2020,"woman",33,163,95,74,0,75.57,12,56,873.22
2019,"man",26,161,91,75,0,42.15,22,69,488.3
2022,"woman",39,172,92,75,0,80.99,6,77,1007.99
2021,"woman",40,163,92,77,0,81.88,14,20,700.94
2021,"woman",43,171,114,77,0,69.61,7,25,774.58
2021,"man",36,171,108,71,0,77.4,15,64,802.43
2019,"woman",35,169,94,71,0,57.82,22,58,516.85
2019,"woman",22,166,95,76,0,62.65,15,51,705.55
2022,"woman",33,163,93,75,0,73.24,13,35,914.8
2019,"woman",27,168,91,73,0,71.95,10,38,869.05
2021,"woman",18,161,95,NA,0,77.18,15,13,762.93
2022,"man",30,166,89,77,0,75.31,12,54,875.06
2022,"woman",32,165,104,73,0,96,4,96,1044.03
2021,"woman",34,163,88,75,0,81.34,14,84,1013.07
2020,"woman",31,168,98,71,0,68.67,22,41,593.94
2019,"woman",29,165,87,79,0,77.29,5,76,481.32
2020,"man",24,166,100,75,0,54.63,0,1,487.14
2019,"man",22,168,104,75,0,46.91,21,85,631.44
2020,"other",42,168,100,72,0,59.12,4,75,749.98
2021,"woman",24,178,96,78,0,82.54,12,30,857.12
2020,"woman",36,174,92,71,0,60.78,6,62,731.64
2020,"woman",29,159,93,73,0,67.26,11,97,829.33
2019,"man",25,176,91,70,0,67.06,5,35,425.05
2020,"woman",26,157,90,75,0,60.66,16,47,637.41
2020,"nonbinary",46,173,100,77,0,80.24,22,56,702.19
2019,"woman",29,161,93,72,0,70.76,9,45,557.43
2020,"woman",30,166,86,74,0,79.72,23,45,700.08
2021,"woman",37,173,86,76,0,67.76,23,17,652.53
2022,"woman",33,171,85,76,0,63.39,11,48,819.53
2020,"nonbinary",19,156,97,71,0,61.33,0,50,379
2022,"woman",35,161,94,72,0,65.72,2,95,588.38
2021,"nonbinary",39,170,92,72,0,67.4,4,25,708.18
2021,"woman",29,166,77,73,0,81.07,4,23,865.31
2019,"other",45,165,99,73,0,49.5,9,8,682.16
2022,"woman",28,161,102,73,0,72.85,22,20,745.1
2022,"woman",44,170,98,76,0,68.04,4,19,811.98
2021,"woman",39,175,102,73,0,68.67,15,65,878.72
2019,"man",44,167,84,73,0,57.11,12,26,709.19
2019,"nonbinary",33,167,99,74,0,57.77,13,25,617.24
2021,"man",19,176,109,76,0,70.5,14,49,689.06
2022,"woman",43,177,102,75,0,77.28,17,70,1026.59
2019,"man",21,170,91,75,0,39.97,7,12,522.18
2020,"woman",23,170,101,74,0,75.64,23,68,782.62
2019,"man",40,162,97,68,0,56.9,22,68,198.5
2020,"woman",19,173,91,74,0,66.59,24,3,585.47
2019,"woman",36,175,83,70,0,57.1,5,74,457.31
2021,"woman",35,168,95,74,0,71.56,11,57,983.06
2021,"man",27,161,105,75,0,63.26,7,66,747.61
2022,"woman",22,165,100,70,0,84.67,7,21,883.88
2020,"woman",44,167,103,69,0,61.78,22,40,504.35
2019,"man",30,165,97,74,0,58.93,18,61,686.88
2020,"man",33,163,89,77,0,73.87,7,84,754.09
2021,"other",31,159,104,78,0,72.8,6,23,553.71
2022,"woman",37,171,94,72,0,81.97,6,40,825.83
2021,"other",42,172,89,72,0,69.94,15,88,790.76
2019,"woman",21,165,100,76,0,53.32,15,44,699.08
2020,"nonbinary",37,166,96,75,0,54.66,10,73,662.54
2020,"woman",34,164,92,72,0,56.4,5,31,711.32
2020,"nonbinary",20,166,108,72,0,45.54,11,67,806.59
2019,"man",32,172,99,73,0,76.51,1,98,547.66
2020,"woman",22,157,96,74,0,54.17,22,23,476.82
2019,"woman",27,172,96,72,0,49.52,6,27,542.15
2019,"woman",25,162,99,76,0,59.36,17,50,682.66
2019,"woman",20,153,90,74,0,81.83,23,70,540.92
2021,"other",20,171,106,75,0,65.95,6,60,891.38
2020,"woman",22,171,97,76,0,78.79,8,12,841.64
2019,"man",25,168,88,76,0,52.21,9,36,757.64
2022,"woman",20,154,100,70,0,68.57,16,61,726.88
2019,"woman",34,167,85,76,0,75.8,16,1,813.72
2019,"nonbinary",40,160,93,74,0,58.28,5,32,573.63
2020,"woman",27,163,90,73,0,55.34,1,37,525.09
2020,"woman",42,174,89,74,0,65.12,21,81,688.94
2021,"woman",24,169,93,72,0,62.48,8,3,761.28
2021,"woman",38,171,85,75,0,78.33,20,30,902
2019,"woman",23,173,89,77,0,41.3,3,63,519.74
2019,"woman",32,162,75,75,0,60.16,11,93,818.17
2022,"woman",26,161,91,70,0,58.7,11,2,562.83
2019,"woman",35,157,96,72,0,68.1,3,7,434.25
2022,"man",36,158,99,72,0,80.67,4,54,832.15
2022,"woman",39,158,92,74,0,81.31,21,72,846.19
2022,"man",28,172,94,74,0,77.97,10,65,950.27
2020,"woman",47,174,106,79,0,64.79,21,37,603.27
2021,"man",32,179,95,76,0,76.03,5,16,684.78
2019,"woman",27,162,99,73,0,37.77,1,17,383.07
2022,"man",44,164,100,76,0,82.6,2,68,891.01
2020,"woman",31,155,105,76,0,59.06,3,73,460.54
2020,"woman",42,166,87,76,0,69.81,3,54,772.16
2021,"man",44,165,90,73,0,81.56,18,86,900.15
2022,"man",26,178,91,72,0,83.84,4,24,726.4
2021,"woman",41,176,94,73,0,69.63,9,40,837.48
2021,"woman",37,172,91,73,0,76.51,20,12,761.16
2019,"woman",32,169,91,74,0,70.15,13,58,815.95
2019,"woman",38,175,96,76,0,71.3,9,24,609.57
2020,"woman",36,179,101,77,0,81.49,2,83,682.83
2021,"man",22,163,100,72,0,90.5,1,64,743.38
2019,"woman",24,157,89,78,0,57.87,23,78,324.52
2021,"woman",33,157,101,75,0,59.93,7,99,667.08
2021,"woman",23,182,100,73,0,67.98,24,43,490.11
2020,"woman",24,179,88,76,0,58.41,23,6,441.17
2022,"woman",27,164,86,76,0,72.92,19,51,803.69
2020,"nonbinary",29,171,91,71,0,62.64,9,24,703.39
2020,"woman",26,165,72,77,0,73.72,1,1,533.18
2021,"woman",44,167,102,76,0,69.39,22,43,751.7
2022,"nonbinary",22,174,89,73,0,66.07,2,50,682.89
2021,"man",21,165,100,73,0,68.7,22,47,659.28
2021,"woman",23,172,93,74,0,70.73,22,43,688.11
2020,"nonbinary",37,169,86,70,0,56.71,18,28,575.4
2022,"nonbinary",27,164,110,72,0,60.22,14,47,842.18
2020,"woman",42,167,100,73,0,59.84,1,16,697.15
2019,"woman",45,160,103,74,0,69.82,22,75,699.27
2022,"woman",37,169,93,75,0,69.67,14,75,858.29
2019,"woman",41,166,84,73,0,63.99,2,21,560.55
2020,"man",40,172,89,76,0,47.24,20,89,506.22
2020,"woman",41,159,105,74,0,68.44,2,98,712.99
2020,"woman",36,172,94,74,0,75.23,20,99,802.75
2022,"woman",45,163,87,72,0,88.93,17,66,1026.19
2019,"man",19,167,96,74,0,56.63,10,95,802.03
2019,"woman",43,162,93,74,0,54.01,20,1,549.18
2020,"woman",39,162,99,73,0,80.75,12,32,785.53
2021,"woman",25,162,98,74,0,67.35,11,86,947.38
2019,"woman",34,171,98,74,0,57.92,23,86,610.63
2020,"woman",34,168,103,76,0,68.14,15,39,819.4
2022,"nonbinary",42,181,87,76,0,57.28,21,63,639.34
2020,"woman",21,161,89,72,0,67.24,23,20,544.31
2019,"woman",37,162,87,77,0,60.22,23,26,428.21
2020,"nonbinary",31,164,97,75,0,59.88,3,63,751.2
2022,"man",33,177,89,73,0,100.78,8,91,1034.82
2019,"woman",25,172,104,74,0,56.19,21,75,614.62
2020,"woman",37,165,88,78,0,47.33,13,56,527.04
2021,"woman",37,166,83,74,0,74.14,18,66,840.18
2019,"woman",19,164,83,75,0,78.73,9,83,931.76
2019,"woman",30,162,97,75,0,61.97,18,77,587.33
2020,"woman",37,178,83,76,0,84.96,23,48,585.05
2020,"woman",42,158,104,75,0,77.32,12,30,835.83
2019,"woman",33,160,100,74,0,60.15,12,27,711.75
2022,"woman",22,167,87,74,0,63.61,4,7,768.4
2019,"man",21,172,92,71,0,51.77,2,99,474.54
2020,"woman",27,168,87,74,0,54.03,2,12,594.03
2021,"woman",26,164,84,75,0,77.36,22,34,792.66
2019,"other",21,160,81,76,0,67.99,3,64,585.85
2021,"woman",33,176,93,75,0,55.48,23,34,548.58
2020,"woman",21,165,106,76,0,51.02,9,54,741.5
2020,"man",22,164,110,74,0,70.9,9,24,938.72
2022,"man",23,160,87,73,0,83.4,4,72,851.86
2020,"woman",22,174,97,76,0,58.4,6,55,749.3
2020,"woman",32,171,94,74,0,60.02,20,21,663.07
2019,"woman",21,179,86,74,0,60.73,10,91,672.91
2021,"other",24,166,97,75,0,52.95,19,37,715.44
2021,"woman",25,164,95,73,0,63.68,11,67,832.97
2019,"woman",20,168,89,77,0,54.62,7,92,740.83
2022,"man",44,179,90,76,0,90.91,12,52,961.47
2020,"man",21,160,88,71,0,59.29,15,24,579.29
2019,"woman",38,169,102,74,0,55.67,7,28,682.61
2022,"woman",19,174,103,71,0,61.66,3,55,698.2
2019,"woman",23,161,97,73,0,63.88,0,49,438.87
2020,"woman",28,166,99,76,0,61.73,23,95,549.69
2021,"woman",32,164,95,76,0,80.42,12,1,894.44
2020,"woman",26,174,85,73,0,76.52,16,27,680.47
2020,"woman",38,160,90,76,0,55.75,9,79,794.42
2022,"woman",19,176,95,72,0,50.27,10,87,856.99
2020,"woman",20,167,92,70,0,72.83,11,69,771.35
2021,"man",20,165,100,69,0,75.07,5,11,605.99
2022,"woman",37,165,97,72,0,61.98,13,16,721.89
2019,"other",41,167,95,73,0,66.45,22,96,577.25
2019,"woman",36,171,98,73,0,42.03,5,29,534.22
2020,"nonbinary",21,171,92,68,0,80.51,21,95,640.81
2020,"woman",31,173,93,74,0,41.71,9,6,577.41
2019,"man",46,172,90,73,0,70.6,16,20,787.1
2022,"woman",26,169,100,77,0,81.4,16,25,910.33
2020,"woman",21,166,84,69,0,48.26,14,83,561.84
2020,"nonbinary",34,166,95,79,0,62.29,11,2,594.21
2020,"other",21,166,103,70,0,69.51,2,77,644.13
2019,"woman",42,173,83,74,0,73.49,5,31,753.38
2021,"woman",29,165,86,74,0,61.55,6,70,801.64
2019,"man",22,166,99,70,0,63.66,9,37,557.42
2022,"woman",38,162,95,74,0,68.05,10,19,894.24
2021,"nonbinary",32,172,101,71,0,70.47,9,79,830.38
2020,"woman",33,160,100,72,0,72.59,18,91,750.42
2019,"woman",25,171,98,70,0,44.24,7,69,495.14
2021,"woman",35,176,103,74,0,59.78,6,93,802.92
2020,"woman",25,164,84,74,0,80.48,18,44,790.4
2021,"woman",26,174,89,76,0,47.58,3,11,592.38
2022,"woman",36,170,90,75,0,77.16,21,79,859.86
2022,"man",45,174,98,78,0,81.01,22,60,717.72
2021,"woman",38,162,98,76,0,88.35,1,64,714.96
2021,"woman",37,164,97,76,0,76.51,8,64,858.25
2020,"man",41,173,109,79,0,82.31,16,41,682.14
2020,"woman",39,170,98,73,0,56.92,1,67,608.22
2021,"woman",45,166,94,74,0,80.95,15,40,1016.09
2021,"man",39,163,77,74,0,72.44,17,58,748.92
2021,"woman",42,167,94,72,0,47.55,16,60,754.53
2022,"man",26,170,94,72,0,77.01,1,48,799.2
2019,"woman",40,164,90,76,0,59.44,14,78,744.2
2021,"man",23,165,91,75,0,68.92,3,57,701.92
2021,"woman",28,167,96,74,0,81.84,0,87,749.23
2022,"woman",40,175,94,71,0,62.9,8,31,785.55
2022,"woman",38,176,101,76,0,77.82,17,42,786.38
2021,"woman",40,164,93,74,0,72.2,8,94,878.64
2019,"woman",NA,164,96,75,0,56.01,13,21,685.02
2020,"woman",35,170,91,78,0,63.55,2,27,459.2
2020,"man",45,178,95,73,0,65.96,20,16,653.19
2020,"woman",28,163,93,75,0,62.75,20,71,705.15
2021,"woman",20,164,102,74,0,86.8,13,38,979.21
2020,"nonbinary",20,164,113,72,0,66.61,20,47,685.24
2022,"nonbinary",23,165,89,76,0,77.11,13,25,960.69
2020,"nonbinary",35,171,95,74,0,64.85,18,31,757.45
2021,"woman",35,166,94,71,0,74.68,21,41,773.12
2019,"woman",32,169,82,74,0,57.71,10,31,693.76
2019,"woman",18,155,87,74,0,34.29,6,6,595.44
2019,"woman",19,181,96,73,0,69.92,9,2,681.45
2022,"nonbinary",22,160,91,74,0,60.89,19,50,890.12
2022,"man",28,163,93,77,0,73.59,11,63,862.57
2019,"woman",40,170,102,74,0,84.45,10,27,840.49
2021,"woman",25,179,106,74,0,62.25,11,14,793.7
2021,"woman",21,170,99,75,0,73.3,11,50,960.44
2020,"woman",20,162,99,77,0,54.2,21,36,520.04
2019,"woman",33,175,102,75,0,51.87,12,73,647.56
2019,"woman",25,172,84,74,0,41.24,4,70,633.7
2019,"man",22,171,93,73,0,55.52,0,25,456.64
2022,"woman",26,183,87,75,0,79.26,16,62,801.51
2022,"woman",25,158,85,75,0,86.59,20,31,774.14
2019,"woman",36,173,92,75,0,77.01,22,27,682.03
2019,"woman",34,170,86,73,0,71.13,11,55,724.13
2021,"woman",26,159,109,73,0,71.49,12,91,808.72
2022,"woman",27,166,94,77,0,80.62,6,5,850.79
2022,"woman",23,158,96,75,0,80.39,16,81,956.44
2021,"woman",27,176,92,75,0,67.71,15,58,900.4
2020,"nonbinary",27,168,98,75,0,69.4,10,78,703.29
2021,"woman",30,171,79,73,0,61.84,20,57,809.51
2020,"other",37,165,95,73,0,57.01,8,36,674.56
